PDB	Labels	Predictions
1bcu	3.28	4.46
1bzc	4.92	6.62
1c5z	4.01	3.62
1e66	9.89	7.08
1eby	9.70	7.88
1g2k	7.96	7.23
1gpk	5.37	7.35
1gpn	6.48	7.24
1h22	9.10	8.31
1h23	8.35	8.30
1k1i	6.58	6.80
1lpg	7.09	9.22
1mq6	11.15	7.60
1nc1	6.12	5.93
1nc3	5.00	6.05
1nvq	8.25	7.36
1o0h	5.92	5.04
1o3f	7.96	5.96
1o5b	5.77	5.23
1owh	7.40	5.76
1oyt	7.24	6.85
1p1n	6.80	6.31
1p1q	4.89	4.93
1ps3	2.28	4.65
1pxn	7.15	6.35
1qf1	7.32	6.41
1qkt	9.04	7.66
1r5y	6.46	4.46
1s38	5.15	4.98
1sqa	9.21	7.23
1syi	5.44	5.64
1u1b	7.80	5.65
1uto	2.27	3.59
1vso	4.72	7.76
1w4o	5.22	4.87
1y6r	10.11	8.10
1yc1	6.17	7.05
1z6e	9.72	8.68
1z95	7.12	8.37
1z9g	5.64	4.86
2al5	8.40	5.49
2br1	5.14	6.30
2brb	4.86	5.91
2cbv	5.48	5.60
2cet	8.02	7.70
2fvd	8.52	7.26
2fxs	6.06	5.89
2hb1	3.80	4.62
2iwx	6.68	6.04
2j78	6.42	5.75
2j7h	7.19	6.20
2p15	10.30	8.83
2p4y	9.00	7.55
2pog	9.54	6.78
2qbp	8.40	6.47
2qbq	7.44	6.71
2qbr	6.33	5.35
2qe4	7.96	7.54
2qnq	6.11	7.71
2r9w	5.10	6.39
2v00	3.66	4.05
2v7a	8.30	7.30
2vkm	8.74	8.08
2vvn	7.30	7.45
2vw5	8.52	6.28
2w4x	4.85	5.68
2w66	4.05	5.26
2wbg	4.45	6.03
2wca	5.60	7.55
2weg	6.50	6.54
2wer	7.05	5.07
2wn9	8.52	5.59
2wnc	6.32	5.99
2wtv	8.74	8.07
2wvt	6.12	6.47
2x00	11.33	7.70
2xb8	7.59	5.84
2xbv	8.43	9.56
2xdl	3.10	5.01
2xii	7.20	7.44
2xj7	6.66	6.71
2xnb	6.83	7.23
2xys	7.42	6.53
2y5h	5.79	8.19
2yfe	6.63	5.70
2yge	5.06	5.47
2yki	9.46	7.23
2ymd	3.16	4.91
2zb1	6.32	6.83
2zcq	8.82	6.90
2zcr	6.87	6.34
2zda	8.40	7.82
2zy1	7.40	6.47
3acw	4.76	6.22
3ag9	8.05	7.25
3ao4	2.07	3.33
3arp	7.15	5.30
3arq	6.40	6.68
3aru	3.22	4.54
3arv	5.64	5.71
3ary	6.00	3.99
3b1m	8.48	6.50
3b27	5.16	5.20
3b5r	8.77	7.82
3b65	9.27	7.77
3b68	8.40	8.05
3bgz	6.26	6.14
3coy	6.02	6.21
3coz	5.57	6.19
3d4z	4.89	6.01
3d6q	3.76	5.02
3dd0	9.00	8.11
3dx1	3.58	4.54
3dx2	6.82	4.63
3dxg	2.40	5.00
3e5a	8.23	6.80
3e92	8.00	6.90
3e93	8.85	8.45
3ebp	5.91	5.41
3ehy	5.85	6.95
3ejr	8.57	7.31
3f3c	6.02	4.00
3fcq	2.77	4.30
3fur	8.00	7.07
3fv1	9.30	9.44
3fv2	8.11	8.62
3g0w	9.52	8.24
3g2n	4.09	3.77
3g2z	2.36	3.86
3g31	2.89	3.38
3gbb	6.90	6.05
3gc5	7.26	6.49
3ge7	8.70	7.04
3gr2	2.52	3.78
3gv9	2.12	4.02
3gy4	5.10	3.31
3ivg	4.30	5.79
3jvr	5.72	6.83
3jvs	6.54	7.67
3jya	6.89	6.02
3k5v	6.30	7.26
3kgp	2.57	3.66
3kr8	8.10	7.65
3kwa	4.08	5.81
3l7b	2.40	3.78
3lka	2.82	7.46
3mss	4.66	5.88
3myg	10.70	7.91
3n76	6.85	5.94
3n7a	3.70	4.24
3n86	5.64	5.54
3nq9	4.03	5.40
3nw9	9.00	7.62
3nx7	8.10	7.62
3o9i	11.82	10.39
3oe4	7.47	6.42
3oe5	6.88	6.07
3ozs	5.33	5.76
3ozt	4.13	6.03
3p5o	7.26	6.78
3prs	7.82	6.52
3pww	7.32	6.62
3pxf	4.43	5.64
3pyy	6.86	6.77
3qgy	7.80	7.01
3qqs	5.82	4.94
3r88	4.82	3.74
3rlr	7.52	7.21
3rr4	4.55	7.12
3rsx	4.41	4.81
3ryj	7.80	8.38
3syr	5.10	4.64
3tsk	7.17	8.96
3twp	3.92	3.86
3u5j	5.61	5.55
3u8k	8.66	7.07
3u8n	10.17	7.64
3u9q	4.38	4.61
3udh	2.85	3.91
3ueu	5.24	6.18
3uev	5.89	6.43
3uew	6.31	6.44
3uex	6.92	6.44
3ui7	9.00	6.88
3uo4	6.52	6.89
3up2	7.40	7.05
3utu	10.92	7.32
3uuo	7.96	6.67
3wtj	6.53	7.76
3wz8	5.82	5.61
3zdg	7.10	6.40
3zso	5.12	5.20
3zsx	3.28	4.26
3zt2	2.84	3.86
4abg	3.57	3.76
4agn	3.97	4.76
4agp	4.69	5.05
4agq	5.01	5.15
4bkt	3.62	3.67
4cig	3.67	5.81
4ciw	4.82	4.29
4cr9	4.10	5.01
4cra	7.22	8.43
4crc	8.72	8.82
4ddh	3.30	3.18
4ddk	2.29	2.83
4de1	5.96	5.68
4de2	4.12	4.67
4de3	5.52	5.37
4djv	6.72	7.14
4dld	5.82	7.39
4dli	5.62	7.25
4e5w	7.66	9.04
4e6q	8.36	7.35
4ea2	6.44	6.10
4eky	3.52	4.03
4eor	6.30	7.32
4f09	6.70	6.45
4f9w	6.94	5.30
4gfm	7.22	6.15
4gid	10.77	8.08
4gkm	5.17	5.42
4gr0	9.55	8.65
4hge	7.92	7.31
4ivb	8.72	9.03
4ivc	10.00	9.79
4ivd	9.52	9.90
4j21	7.41	6.49
4j28	5.70	6.99
4j3l	7.80	8.18
4jfs	5.27	6.10
4jia	9.22	7.84
4jsz	2.30	6.12
4jxs	4.74	5.15
4k18	8.96	9.39
4k77	6.63	6.59
4kz6	3.10	5.37
4kzq	6.10	6.21
4kzu	6.50	6.40
4llx	2.89	4.24
4lzs	4.80	5.05
4m0y	6.46	6.67
4m0z	5.19	6.45
4mgd	4.69	6.31
4mme	6.50	4.92
4ogj	6.79	7.40
4owm	2.96	4.45
4pcs	7.85	6.64
4qac	9.40	8.81
4qd6	8.64	7.61
4rfm	10.05	8.74
4tmn	10.17	7.10
4twp	10.00	7.59
4ty7	9.52	8.28
4u4s	2.92	5.17
4w9c	4.65	4.74
4wiv	6.26	6.13
4x6p	8.30	8.19
5a7b	3.57	6.60
5aba	2.98	4.86
5dwr	11.22	9.02
5tmn	8.04	6.61
