PDB	Labels	Predictions
4fud	6.35	3.81
4fue	7.23	7.78
4fu7	6.20	5.27
4fu8	5.23	4.11
4fu9	6.20	5.58
4fub	6.21	5.95
4fuc	7.40	5.76
4fsm	7.62	6.98
4fsw	4.76	4.88
4ft5	7.56	7.82
4fsn	7.70	7.85
4fsz	6.97	5.79
4ft7	8.87	8.18
4ft0	7.11	7.16
4ft9	7.69	7.03
4fta	7.39	7.15
4ftc	7.63	6.51
4fsq	8.80	7.36
4fsr	7.94	8.19
4fst	8.28	7.48
4fw3	7.23	10.44
4fw4	8.08	10.42
4fw5	7.48	7.88
4fw6	7.70	8.76
4fw7	7.13	7.76
4fux	6.00	8.25
4fuy	6.09	7.70
4fv0	5.59	8.24
4fv1	7.08	8.44
4fv2	7.68	7.65
4fv3	7.74	8.18
4ev4	7.40	7.61
4fv5	7.70	8.03
4fv7	7.57	8.39
4fv8	7.82	8.18
4fv9	6.72	7.76
4fx3	8.07	6.70
4ek4	4.48	5.96
4ek5	6.09	6.51
4fkg	4.67	6.39
4fki	4.23	7.48
4ek6	6.04	6.71
4fjk	6.55	5.92
4ek8	7.11	7.65
3sw4	6.02	7.07
3sw7	6.64	7.72
4fko	6.11	6.84
4fkp	6.54	6.97
4fkq	6.28	6.36
4fkr	6.64	6.97
4fks	6.28	7.28
4fkt	5.97	6.96
4fku	7.01	6.70
4fkv	6.60	7.72
4fkw	7.33	7.54
