PDB	Labels	Predictions
1gm8	4.80	4.69
1gpk	5.37	8.14
1hnn	6.24	6.64
1hp0	6.70	3.91
1hq2	6.77	5.15
1hvy	6.17	7.63
1hwi	7.55	7.13
1hww	7.70	4.26
1ia1	7.47	6.35
1j3j	8.01	4.90
1jd0	8.24	7.06
1jje	8.43	6.61
1ke5	6.25	6.14
1kzk	10.40	8.90
1l2s	4.59	5.09
1l7f	9.10	7.65
1lpz	7.60	7.81
1lrh	6.82	3.28
1m2z	7.22	7.76
1mmv	7.24	5.06
1n1m	5.70	5.12
1n2v	4.08	4.16
1n46	10.52	8.75
1nav	7.60	5.79
1of1	4.82	6.21
1of6	6.05	4.50
1opk	9.82	8.07
1oq5	7.68	8.07
1owe	6.20	5.03
1oyt	7.24	6.67
1p2y	5.00	7.49
1p62	4.66	6.31
1pmn	8.15	8.60
1q1g	8.57	8.13
1q41	7.66	7.97
1q4g	6.89	6.07
1r1h	8.92	8.01
1r55	6.80	6.24
1r58	6.96	7.83
1r9o	5.02	6.14
1s19	9.51	7.07
1s3v	7.42	5.92
1sg0	7.47	5.66
1sj0	9.10	7.45
1sq5	4.39	4.36
1sqn	9.40	8.41
1t40	7.96	6.37
1t46	6.38	5.58
1t9b	6.90	7.20
1tow	6.24	6.03
1tt1	7.19	8.03
1u1c	5.37	5.49
1uml	7.52	6.66
1unl	6.70	6.12
1uou	7.70	4.53
1v0p	6.89	7.09
1v48	8.16	6.52
1v4s	6.44	7.45
1vcj	4.59	3.82
1w1p	2.30	2.58
1w2g	4.57	3.67
1xm6	6.38	7.99
1xoq	9.17	8.28
1xoz	8.92	9.21
1y6b	7.42	8.32
1ygc	9.46	7.91
1yqy	7.62	4.43
1ywr	7.49	7.94
1z95	7.12	7.67
2bm2	7.82	6.29
2br1	5.14	6.50
2bsm	5.82	7.65
