PDB	Labels	Predictions
3m1k	5.39	6.10
6pgb	4.60	5.23
6fnt	4.68	5.46
5ap7	6.29	8.23
4alx	7.28	8.14
4jg7	6.92	7.77
5tuy	6.35	7.17
4u6r	7.85	7.75
6hky	9.34	8.00
1moq	3.46	3.31
3bkl	6.17	7.92
1uyg	4.27	6.03
4qyy	7.30	7.66
2rcw	8.10	7.60
5alg	7.52	7.28
5k0f	6.07	6.77
4x8v	6.89	8.07
2ei6	7.39	8.20
5j9f	7.23	7.76
6s9x	6.42	7.86
3sfh	7.05	6.37
1ett	5.89	6.49
3wym	9.52	9.28
4leq	6.54	6.17
2p8n	3.15	3.37
5aae	7.46	8.12
5teh	7.55	7.86
4mmm	3.82	3.51
3gt9	3.96	6.16
6ouv	5.55	5.66
6knh	3.55	4.16
3hwx	7.86	7.87
4w9x	7.40	7.45
4d8s	6.49	7.68
4p02	6.40	6.09
2ghg	8.82	8.16
5a3s	8.68	8.28
5ccl	4.77	5.16
4cwo	5.21	7.02
4ec0	6.07	5.84
6abk	1.95	2.13
6myn	7.85	8.94
5wr7	8.96	8.41
1o4d	3.52	2.94
3khv	1.85	3.04
3aas	4.51	3.90
6mjf	5.16	5.29
2j7e	7.32	7.29
5x73	6.74	6.73
6mmo	3.35	4.07
4g0z	2.21	3.63
1ai7	4.09	3.45
4fcb	8.54	8.19
1qj1	8.05	8.31
4u70	5.02	5.47
2p2h	7.17	7.35
4qpd	7.82	7.93
6fs1	7.01	8.00
3fhe	8.60	6.56
4hai	8.10	7.54
5jv0	5.96	6.08
6gcw	8.64	7.56
3f19	7.19	7.73
6q37	6.36	6.73
4hdc	8.92	8.56
5aia	5.20	5.35
5j20	9.14	7.84
5jfp	9.32	9.36
4bhi	7.05	6.13
3n3g	7.24	7.23
4klv	3.78	3.70
2r38	7.44	6.59
4l6s	8.52	7.88
1hk1	5.64	6.46
4zw7	4.72	6.68
2ha6	4.32	4.70
3s56	9.62	8.50
5i9x	7.52	7.75
2bxt	8.52	7.79
6pgx	9.21	9.05
5yea	8.30	7.04
3e6v	6.83	6.68
5oh3	3.87	3.83
4jnm	8.52	7.57
4w4y	6.46	7.01
6fba	4.70	4.69
5zfi	5.92	6.93
1o0o	5.10	5.23
5q0p	7.41	6.60
5xfj	8.22	8.53
6aej	6.15	6.28
5lvr	3.60	4.07
1hk3	6.59	6.46
5y0x	5.11	6.20
4p74	5.00	5.35
3hmm	7.60	8.05
1b74	1.30	1.71
3mj1	7.82	8.00
2c02	4.04	3.72
6fa5	6.75	6.48
5za2	5.77	5.80
6jz0	7.82	7.38
5j7q	4.58	5.40
3v4j	5.04	5.30
5o5a	4.77	6.52
5mxf	3.59	3.65
4gg5	9.03	7.60
5wf3	5.85	7.01
4kiq	7.64	7.01
4pin	5.40	5.12
4ei4	8.74	8.50
2nt7	6.52	6.60
5l6p	7.26	7.11
3oaw	8.15	7.64
4o55	5.30	6.79
2viz	6.22	7.08
5alu	7.66	8.17
1bm7	7.52	6.15
6dvm	8.52	8.32
3sb0	5.26	6.17
4ijq	7.52	7.01
4a4f	2.88	3.32
4hbv	4.64	4.28
3oy1	7.80	7.21
4xkb	6.10	7.34
3pd8	6.46	6.86
5kks	8.70	8.07
1ung	6.80	6.34
2o8h	7.60	7.92
4hxl	5.66	5.62
2cex	4.70	6.34
3vi5	5.68	6.59
3mrx	3.39	4.02
3mzc	6.65	7.45
4qtl	6.92	8.53
4di2	8.26	7.84
5nxw	7.24	7.84
5hzx	8.55	9.14
4ie5	4.82	4.90
4q7v	3.59	3.90
2q6c	7.78	8.04
6bhv	5.23	6.52
2ckm	8.82	8.63
4mk0	5.20	6.48
4r5t	6.10	6.30
1y2e	6.80	6.49
3iaf	2.92	3.92
6g2r	9.46	8.60
4zei	5.88	5.96
5h1t	3.80	3.62
4ona	8.15	8.67
5umy	6.97	6.98
5uga	6.79	7.65
2aod	5.66	6.70
5nuu	8.20	7.99
1lhg	7.10	8.57
3iod	4.10	3.94
5eak	9.30	8.44
2yex	10.00	7.62
6q54	6.49	6.23
5w6e	8.04	8.33
6i63	7.01	6.82
5f2k	6.16	5.78
2qcg	4.00	5.66
6fu5	7.50	7.12
4iif	5.18	3.07
4z0q	8.17	8.58
