PDB	Labels	Predictions
1gm8	4.80	4.71
1gpk	5.37	7.73
1hnn	6.24	8.36
1hp0	6.70	5.59
1hq2	6.77	4.57
1hvy	6.17	6.54
1hwi	7.55	7.75
1hww	7.70	4.42
1ia1	7.47	4.68
1j3j	8.01	5.75
1jd0	8.24	6.99
1jje	8.43	5.17
1ke5	6.25	6.52
1kzk	10.40	8.65
1l2s	4.59	3.88
1l7f	9.10	6.87
1lpz	7.60	8.41
1lrh	6.82	4.19
1m2z	7.22	7.12
1mmv	7.24	4.07
1n1m	5.70	6.05
1n2v	4.08	4.22
1n46	10.52	7.46
1nav	7.60	7.70
1of1	4.82	4.95
1of6	6.05	4.20
1opk	9.82	8.09
1oq5	7.68	7.75
1owe	6.20	6.52
1oyt	7.24	7.44
1p2y	5.00	4.42
1p62	4.66	5.89
1pmn	8.15	8.53
1q1g	8.57	6.73
1q41	7.66	7.57
1q4g	6.89	5.73
1r1h	8.92	9.14
1r55	6.80	7.68
1r58	6.96	4.75
1r9o	5.02	4.96
1s19	9.51	8.35
1s3v	7.42	7.75
1sg0	7.47	5.06
1sj0	9.10	8.68
1sq5	4.39	4.87
1sqn	9.40	8.38
1t40	7.96	7.03
1t46	6.38	7.21
1t9b	6.90	5.13
1tow	6.24	5.71
1tt1	7.19	7.94
1u1c	5.37	4.45
1uml	7.52	8.53
1unl	6.70	6.98
1uou	7.70	4.68
1v0p	6.89	6.68
1v48	8.16	8.69
1v4s	6.44	6.20
1vcj	4.59	5.53
1w1p	2.30	2.05
1w2g	4.57	3.33
1xm6	6.38	5.78
1xoq	9.17	8.26
1xoz	8.92	8.85
1y6b	7.42	7.94
1ygc	9.46	7.08
1yqy	7.62	6.05
1ywr	7.49	8.21
1z95	7.12	7.87
2bm2	7.82	6.71
2br1	5.14	7.31
2bsm	5.82	7.24
