PDB	Labels	Predictions
10gs	6.40	6.06
1bcu	3.28	3.52
1e66	9.89	7.31
1f8b	5.40	4.40
1f8c	7.40	5.30
1f8d	3.40	4.98
1gpk	5.37	7.73
1h23	8.35	8.73
1hfs	8.70	7.84
1hnn	6.24	8.36
1lbk	3.18	3.75
1lol	6.39	3.92
1loq	3.70	3.25
1lor	11.06	3.80
1mq6	11.15	8.41
1n1m	5.70	6.05
1n2v	4.08	4.22
1nvq	8.25	8.85
1o3f	7.96	5.90
1o5b	5.77	5.41
1os0	6.03	7.54
1oyt	7.24	7.44
1p1q	4.89	5.45
1ps3	2.28	4.94
1r5y	6.46	5.23
1sqa	9.21	7.79
1u1b	7.80	6.43
1u33	4.60	4.84
1uto	2.27	2.20
1vso	4.72	7.48
1w4o	5.22	4.14
1xd0	7.12	4.79
1yc1	6.17	6.85
1z95	7.12	7.87
2brb	4.86	5.67
2cbj	8.27	7.79
2cet	8.02	7.81
2d1o	7.70	8.16
2fvd	8.52	7.88
2g70	7.77	4.14
2hb1	3.80	5.18
2iwx	6.68	5.60
2j62	11.34	9.68
2j78	6.42	5.33
2jdm	5.40	6.68
2jdu	6.72	6.68
2jdy	4.37	5.50
2obf	8.85	7.65
2ole	7.25	7.61
2p4y	9.00	8.15
2pq9	8.11	7.77
2qbp	8.40	6.17
2qbr	6.33	6.06
2qft	5.26	4.45
2v00	3.66	4.48
2v7a	8.30	7.63
2vl4	6.01	5.21
2vo5	4.89	5.48
2vot	7.14	5.48
2vvn	7.30	6.83
2vw5	8.52	5.92
2w66	4.05	5.90
2wbg	4.45	6.12
2wca	5.60	4.83
2weg	6.50	5.97
2wtv	8.74	7.96
2x00	11.33	9.32
2x0y	4.60	6.00
2x8z	7.96	5.13
2x97	5.66	5.50
2xb8	7.59	5.94
2xbv	8.43	8.82
2xdl	3.10	4.23
2xhm	6.80	6.37
2xnb	6.83	7.63
2xy9	9.19	7.60
2xys	7.42	7.33
2y5h	5.79	7.45
2yfe	6.63	6.90
2yge	5.06	5.74
2yki	9.46	6.09
2ymd	3.16	4.71
2zcq	8.82	5.99
2zcr	6.87	8.83
2zjw	7.70	6.94
2zwz	7.79	7.80
2zx6	10.60	9.57
2zxd	5.22	7.52
3acw	4.76	5.64
3ag9	8.05	7.97
3ao4	2.07	2.19
3b68	8.40	8.62
3bfu	6.27	6.46
3bkk	6.08	7.66
3cft	4.19	5.50
3coy	6.02	7.35
3cyx	8.00	6.56
3d4z	4.89	5.74
3dd0	9.00	8.68
3dxg	2.40	4.14
3e93	8.85	8.03
3ebp	5.91	7.15
3ehy	5.85	7.47
3ejr	8.57	7.03
3f17	8.63	7.46
3f3c	6.02	3.01
3f80	4.22	5.79
3fcq	2.77	4.59
3fk1	2.62	4.66
3fv1	9.30	8.74
3g0w	9.52	8.64
3g2n	4.09	3.92
3g2z	2.36	3.35
3gbb	6.90	6.95
3gcs	7.25	7.05
3ge7	8.70	8.46
3gy4	5.10	3.66
3huc	5.99	7.08
3i3b	2.23	3.66
3imc	2.96	2.77
3ivg	4.30	6.26
3jvs	6.54	8.35
3k5v	6.30	7.28
3kgp	2.57	4.15
3kv2	7.32	6.09
3kwa	4.08	4.43
3l3n	8.18	7.81
3l7b	2.40	2.35
3lka	2.82	7.66
3mfv	2.52	4.90
3mss	4.66	5.44
3muz	3.46	3.61
3myg	10.70	7.61
3n7a	3.70	4.24
3n86	5.64	5.66
3nox	8.66	8.02
3nq3	3.78	4.70
3nw9	9.00	7.87
3oe5	6.88	6.13
3owj	6.07	6.93
3ozt	4.13	5.34
3pe2	9.76	7.71
3pww	7.32	6.47
3pxf	4.43	4.35
3u9q	4.38	4.78
3udh	2.85	3.64
3ueu	5.24	5.12
3uex	6.92	6.07
3uo4	6.52	7.15
3utu	10.92	7.36
3vd4	4.82	3.61
3vh9	6.24	3.45
3zso	5.12	4.43
3zsx	3.28	3.68
4de1	5.96	5.09
4de2	4.12	4.88
4des	5.85	6.29
4dew	7.00	6.28
4djr	11.52	10.58
4djv	6.72	6.47
4g8m	7.89	5.98
4gid	10.77	7.96
4gqq	2.89	3.17
4tmn	10.17	7.70
