PDB	Labels	Predictions
2are	3.28	4.14
2oag	8.47	8.29
2jbj	9.70	9.12
2pwd	4.40	4.80
2pwg	4.82	4.64
2oym	5.00	6.38
2hzy	7.39	4.60
2ihj	4.59	3.15
2ojg	5.64	7.54
2hzl	6.57	4.74
2ovv	7.92	7.00
2nta	4.80	4.92
2qu6	8.52	8.03
2pog	9.54	8.16
2o4j	10.10	8.90
3b92	8.00	7.84
2p98	6.19	6.03
2z4b	9.36	8.57
2jj3	9.55	8.57
2h15	5.67	7.69
2pov	7.12	7.40
2pow	7.20	8.30
2nmx	5.57	5.75
1vso	4.72	7.39
2p95	9.37	8.96
2p16	10.10	7.92
2flr	6.10	6.04
2pgz	5.74	5.99
2bys	9.52	7.64
2gkl	5.35	3.44
2nsl	4.68	5.31
2nsj	4.79	5.31
2c92	5.68	5.38
2c94	6.82	5.61
2nnq	8.70	7.01
2psv	7.24	8.17
2cem	7.92	9.15
2cen	8.30	9.00
2q54	9.01	8.59
2b3f	6.03	3.58
2bbf	5.10	4.83
2e2r	8.26	6.51
2gz2	5.22	5.34
2hr6	4.92	4.31
2idz	9.40	5.37
2ihk	4.16	3.15
2jff	3.62	3.38
2oiq	4.94	7.07
2otz	3.63	4.24
2ou0	3.23	3.87
2pjo	0.05	3.05
2pzv	3.87	3.46
2q88	5.80	4.08
2q89	6.30	5.48
2qeh	8.62	6.53
2qvu	6.44	4.95
2r3d	-0.15	2.28
2r5p	8.48	8.21
2rde	7.01	6.00
2v8q	4.61	4.45
3b50	7.55	6.05
3bgq	7.96	7.96
3bgz	6.26	6.21
2v8y	5.71	5.82
2jgb	5.61	4.99
1gja	5.42	5.48
1swk	12.00	11.19
1toi	4.05	4.20
1iup	2.54	5.40
1tog	3.22	4.20
1uto	2.27	3.28
1ukb	3.19	4.06
2cjp	3.10	5.03
1vot	6.60	6.91
2fx6	3.70	3.58
2c1q	13.00	7.62
2e2p	4.74	5.16
2epn	7.22	6.45
2i2c	4.70	4.33
2j4k	4.85	3.96
2jdu	6.72	4.61
2jdy	4.37	4.59
2jke	4.23	4.56
2p3t	11.30	8.97
2p4y	9.00	7.14
2p7g	6.53	6.51
2pqc	5.74	7.24
2q6m	6.29	5.73
2q8z	5.68	5.96
2qbq	7.44	5.92
2qbr	6.33	4.78
2qdt	5.19	3.75
2qhy	7.48	8.68
2qhz	7.28	8.63
2qi1	7.30	8.59
2qi3	10.20	8.78
2qi4	10.44	8.41
2qi5	10.85	8.66
2qi6	10.57	8.31
2qmg	9.15	7.41
2qnq	6.11	6.65
2qrl	4.00	3.23
2qry	8.64	5.17
2r6w	9.36	8.33
2r75	6.15	5.35
2reg	5.57	4.22
2rkd	2.72	3.64
2uwl	8.40	8.59
2uwp	6.81	8.36
2uy4	4.68	5.52
2v2c	3.41	2.82
2v77	5.06	3.36
2v7t	7.48	5.96
2v7u	5.90	5.47
2v7v	6.66	5.54
2vhw	5.09	4.10
2vkm	8.74	7.52
2vmd	3.02	3.97
2vpn	6.72	4.73
2vuk	3.82	3.74
2vw5	8.52	5.89
2w26	9.40	7.18
2zmm	7.60	5.39
2zn7	7.89	5.75
3b3c	3.98	5.68
3b7r	7.70	7.32
3bex	5.57	1.88
3bl0	6.92	7.41
3brn	8.70	4.86
3bu1	8.15	3.82
3bxe	5.48	3.85
3c2f	2.00	5.96
3c2o	3.35	4.09
3c2r	3.11	3.77
3c7i	5.64	5.76
3ccw	7.87	7.95
3ccz	7.29	8.04
3cd7	7.84	7.89
3czv	7.80	6.98
3d2r	5.48	3.93
3d51	4.15	2.76
3d83	8.36	7.49
3ddg	6.00	5.47
3dp4	7.37	6.36
3e92	8.00	8.59
3eko	6.70	5.52
3ekr	5.55	7.57
3ene	6.24	6.22
3eqr	8.70	7.69
3f8c	7.68	6.42
3fat	7.64	5.51
