PDB	Labels	Predictions
4fud	6.35	4.02
4fue	7.23	6.90
4fu7	6.20	5.01
4fu8	5.23	3.86
4fu9	6.20	5.90
4fub	6.21	6.03
4fuc	7.40	5.94
4fsm	7.62	7.74
4fsw	4.76	5.82
4ft5	7.56	7.99
4fsn	7.70	8.16
4fsz	6.97	6.16
4ft7	8.87	8.48
4ft0	7.11	6.73
4ft9	7.69	7.43
4fta	7.39	8.26
4ftc	7.63	7.25
4fsq	8.80	7.49
4fsr	7.94	8.47
4fst	8.28	8.15
4fw3	7.23	9.42
4fw4	8.08	9.70
4fw5	7.48	9.06
4fw6	7.70	9.53
4fw7	7.13	9.09
4fux	6.00	7.98
4fuy	6.09	8.35
4fv0	5.59	7.68
4fv1	7.08	8.05
4fv2	7.68	8.00
4fv3	7.74	8.65
4ev4	7.40	6.97
4fv5	7.70	7.75
4fv7	7.57	8.18
4fv8	7.82	8.39
4fv9	6.72	8.15
4fx3	8.07	5.62
4ek4	4.48	4.98
4ek5	6.09	6.07
4fkg	4.67	6.31
4fki	4.23	5.95
4ek6	6.04	6.50
4fjk	6.55	4.41
4ek8	7.11	6.88
3sw4	6.02	6.35
3sw7	6.64	7.28
4fko	6.11	6.70
4fkp	6.54	5.78
4fkq	6.28	6.74
4fkr	6.64	6.82
4fks	6.28	6.54
4fkt	5.97	5.80
4fku	7.01	5.62
4fkv	6.60	7.04
4fkw	7.33	5.84
