PDB	Labels	Predictions
1bcu	3.28	5.29
1bzc	4.92	5.29
1c5z	4.01	3.39
1e66	9.89	8.49
1eby	9.70	9.56
1g2k	7.96	7.82
1gpk	5.37	6.80
1gpn	6.48	7.19
1h22	9.10	8.10
1h23	8.35	8.02
1k1i	6.58	6.81
1lpg	7.09	9.09
1mq6	11.15	8.50
1nc1	6.12	8.45
1nc3	5.00	7.69
1nvq	8.25	8.14
1o0h	5.92	4.72
1o3f	7.96	6.95
1o5b	5.77	4.73
1owh	7.40	6.88
1oyt	7.24	7.50
1p1n	6.80	7.19
1p1q	4.89	5.88
1ps3	2.28	3.77
1pxn	7.15	6.70
1qf1	7.32	7.06
1qkt	9.04	8.02
1r5y	6.46	4.49
1s38	5.15	7.11
1sqa	9.21	7.48
1syi	5.44	6.55
1u1b	7.80	6.25
1uto	2.27	2.66
1vso	4.72	7.45
1w4o	5.22	4.34
1y6r	10.11	8.33
1yc1	6.17	7.47
1z6e	9.72	9.24
1z95	7.12	8.77
1z9g	5.64	5.09
2al5	8.40	7.17
2br1	5.14	7.74
2brb	4.86	7.48
2cbv	5.48	5.12
2cet	8.02	8.60
2fvd	8.52	8.10
2fxs	6.06	4.71
2hb1	3.80	4.64
2iwx	6.68	6.14
2j78	6.42	6.08
2j7h	7.19	6.83
2p15	10.30	9.22
2p4y	9.00	6.63
2pog	9.54	7.30
2qbp	8.40	7.10
2qbq	7.44	6.78
2qbr	6.33	5.98
2qe4	7.96	7.93
2qnq	6.11	8.19
2r9w	5.10	7.31
2v00	3.66	3.05
2v7a	8.30	7.31
2vkm	8.74	7.09
2vvn	7.30	6.94
2vw5	8.52	6.96
2w4x	4.85	5.31
2w66	4.05	5.30
2wbg	4.45	5.99
2wca	5.60	6.26
2weg	6.50	5.77
2wer	7.05	4.58
2wn9	8.52	6.49
2wnc	6.32	6.67
2wtv	8.74	7.86
2wvt	6.12	6.09
2x00	11.33	7.57
2xb8	7.59	6.31
2xbv	8.43	8.92
2xdl	3.10	3.64
2xii	7.20	8.27
2xj7	6.66	5.71
2xnb	6.83	7.85
2xys	7.42	7.84
2y5h	5.79	8.91
2yfe	6.63	5.12
2yge	5.06	6.06
2yki	9.46	6.43
2ymd	3.16	5.84
2zb1	6.32	7.28
2zcq	8.82	5.47
2zcr	6.87	7.25
2zda	8.40	6.27
2zy1	7.40	6.56
3acw	4.76	7.49
3ag9	8.05	7.64
3ao4	2.07	3.37
3arp	7.15	6.10
3arq	6.40	5.78
3aru	3.22	5.63
3arv	5.64	4.73
3ary	6.00	5.55
3b1m	8.48	5.87
3b27	5.16	4.75
3b5r	8.77	9.02
3b65	9.27	8.60
3b68	8.40	8.33
3bgz	6.26	7.36
3coy	6.02	5.83
3coz	5.57	5.52
3d4z	4.89	4.81
3d6q	3.76	4.62
3dd0	9.00	7.58
3dx1	3.58	4.55
3dx2	6.82	4.36
3dxg	2.40	3.11
3e5a	8.23	8.26
3e92	8.00	6.75
3e93	8.85	7.12
3ebp	5.91	5.40
3ehy	5.85	7.39
3ejr	8.57	6.82
3f3c	6.02	3.19
3fcq	2.77	5.38
3fur	8.00	7.05
3fv1	9.30	8.67
3fv2	8.11	8.36
3g0w	9.52	8.66
3g2n	4.09	5.59
3g2z	2.36	3.79
3g31	2.89	3.59
3gbb	6.90	6.79
3gc5	7.26	6.70
3ge7	8.70	7.61
3gr2	2.52	5.97
3gv9	2.12	5.17
3gy4	5.10	4.25
3ivg	4.30	6.34
3jvr	5.72	7.94
3jvs	6.54	7.13
3jya	6.89	6.78
3k5v	6.30	7.45
3kgp	2.57	2.53
3kr8	8.10	7.08
3kwa	4.08	4.12
3l7b	2.40	4.19
3lka	2.82	6.92
3mss	4.66	5.91
3myg	10.70	7.18
3n76	6.85	5.61
3n7a	3.70	4.90
3n86	5.64	5.85
3nq9	4.03	6.14
3nw9	9.00	6.79
3nx7	8.10	8.65
3o9i	11.82	11.38
3oe4	7.47	6.74
3oe5	6.88	6.29
3ozs	5.33	5.65
3ozt	4.13	5.48
3p5o	7.26	6.53
3prs	7.82	6.26
3pww	7.32	7.35
3pxf	4.43	6.13
3pyy	6.86	7.20
3qgy	7.80	6.70
3qqs	5.82	5.58
3r88	4.82	4.62
3rlr	7.52	8.13
3rr4	4.55	8.32
3rsx	4.41	5.15
3ryj	7.80	7.75
3syr	5.10	4.68
3tsk	7.17	8.79
3twp	3.92	4.41
3u5j	5.61	6.94
3u8k	8.66	7.88
3u8n	10.17	7.94
3u9q	4.38	5.98
3udh	2.85	4.28
3ueu	5.24	5.44
3uev	5.89	7.13
3uew	6.31	7.74
3uex	6.92	7.12
3ui7	9.00	5.60
3uo4	6.52	7.35
3up2	7.40	7.82
3utu	10.92	7.97
3uuo	7.96	6.32
3wtj	6.53	7.48
3wz8	5.82	5.43
3zdg	7.10	6.78
3zso	5.12	5.13
3zsx	3.28	3.18
3zt2	2.84	2.78
4abg	3.57	4.20
4agn	3.97	4.66
4agp	4.69	5.44
4agq	5.01	5.74
4bkt	3.62	3.36
4cig	3.67	4.16
4ciw	4.82	4.69
4cr9	4.10	4.68
4cra	7.22	8.14
4crc	8.72	8.05
4ddh	3.30	3.57
4ddk	2.29	3.63
4de1	5.96	4.93
4de2	4.12	4.91
4de3	5.52	4.16
4djv	6.72	6.93
4dld	5.82	7.89
4dli	5.62	5.97
4e5w	7.66	9.91
4e6q	8.36	8.25
4ea2	6.44	6.09
4eky	3.52	3.93
4eor	6.30	7.43
4f09	6.70	7.08
4f9w	6.94	6.75
4gfm	7.22	6.08
4gid	10.77	8.61
4gkm	5.17	5.61
4gr0	9.55	8.43
4hge	7.92	7.18
4ivb	8.72	9.13
4ivc	10.00	9.91
4ivd	9.52	9.60
4j21	7.41	7.38
4j28	5.70	7.91
4j3l	7.80	7.23
4jfs	5.27	5.41
4jia	9.22	9.14
4jsz	2.30	5.51
4jxs	4.74	4.86
4k18	8.96	8.68
4k77	6.63	7.82
4kz6	3.10	5.17
4kzq	6.10	6.21
4kzu	6.50	5.80
4llx	2.89	2.89
4lzs	4.80	5.55
4m0y	6.46	7.43
4m0z	5.19	7.41
4mgd	4.69	7.23
4mme	6.50	5.05
4ogj	6.79	6.62
4owm	2.96	4.95
4pcs	7.85	7.62
4qac	9.40	7.55
4qd6	8.64	8.00
4rfm	10.05	7.90
4tmn	10.17	6.26
4twp	10.00	6.54
4ty7	9.52	8.28
4u4s	2.92	5.40
4w9c	4.65	5.14
4wiv	6.26	7.21
4x6p	8.30	7.72
5a7b	3.57	5.88
5aba	2.98	5.33
5dwr	11.22	9.03
5tmn	8.04	5.80
