PDB	Labels	Predictions
1gm8	4.80	5.96
1gpk	5.37	6.42
1hnn	6.24	8.04
1hp0	6.70	5.94
1hq2	6.77	5.72
1hvy	6.17	6.44
1hwi	7.55	7.72
1hww	7.70	3.74
1ia1	7.47	6.56
1j3j	8.01	5.65
1jd0	8.24	6.74
1jje	8.43	6.75
1ke5	6.25	5.77
1kzk	10.40	10.28
1l2s	4.59	4.62
1l7f	9.10	8.02
1lpz	7.60	9.07
1lrh	6.82	4.15
1m2z	7.22	6.97
1mmv	7.24	4.07
1n1m	5.70	5.39
1n2v	4.08	4.14
1n46	10.52	8.39
1nav	7.60	8.47
1of1	4.82	5.37
1of6	6.05	4.42
1opk	9.82	8.15
1oq5	7.68	7.30
1owe	6.20	6.84
1oyt	7.24	6.64
1p2y	5.00	3.86
1p62	4.66	5.98
1pmn	8.15	8.15
1q1g	8.57	7.61
1q41	7.66	8.10
1q4g	6.89	4.40
1r1h	8.92	7.43
1r55	6.80	3.90
1r58	6.96	7.48
1r9o	5.02	4.86
1s19	9.51	7.06
1s3v	7.42	7.10
1sg0	7.47	5.63
1sj0	9.10	8.95
1sq5	4.39	5.58
1sqn	9.40	9.66
1t40	7.96	7.81
1t46	6.38	8.08
1t9b	6.90	7.20
1tow	6.24	5.27
1tt1	7.19	8.45
1u1c	5.37	4.37
1uml	7.52	6.85
1unl	6.70	7.33
1uou	7.70	4.44
1v0p	6.89	5.67
1v48	8.16	5.98
1v4s	6.44	7.97
1vcj	4.59	5.16
1w1p	2.30	3.00
1w2g	4.57	3.97
1xm6	6.38	7.31
1xoq	9.17	9.06
1xoz	8.92	9.30
1y6b	7.42	9.03
1ygc	9.46	7.65
1yqy	7.62	4.35
1ywr	7.49	7.66
1z95	7.12	8.68
2bm2	7.82	7.17
2br1	5.14	7.28
2bsm	5.82	7.26
