PDB	Labels	Predictions
2are	3.28	4.52
2oag	8.47	8.66
2jbj	9.70	8.64
2pwd	4.40	5.78
2pwg	4.82	4.91
2oym	5.00	6.50
2hzy	7.39	3.77
2ihj	4.59	6.12
2ojg	5.64	6.48
2hzl	6.57	5.13
2ovv	7.92	9.53
2nta	4.80	4.56
2qu6	8.52	9.08
2pog	9.54	7.73
2o4j	10.10	10.40
3b92	8.00	6.79
2p98	6.19	5.63
2z4b	9.36	9.92
2jj3	9.55	8.81
2h15	5.67	8.42
2pov	7.12	8.42
2pow	7.20	7.62
2nmx	5.57	5.02
1vso	4.72	8.39
2p95	9.37	9.08
2p16	10.10	9.52
2flr	6.10	6.98
2pgz	5.74	7.19
2bys	9.52	7.68
2gkl	5.35	4.63
2nsl	4.68	4.48
2nsj	4.79	4.79
2c92	5.68	5.98
2c94	6.82	6.83
2nnq	8.70	6.66
2psv	7.24	7.21
2cem	7.92	9.04
2cen	8.30	8.51
2q54	9.01	8.99
2b3f	6.03	5.09
2bbf	5.10	5.93
2e2r	8.26	5.58
2gz2	5.22	5.27
2hr6	4.92	4.82
2idz	9.40	5.03
2ihk	4.16	6.07
2jff	3.62	4.28
2oiq	4.94	6.77
2otz	3.63	3.90
2ou0	3.23	3.74
2pjo	0.05	2.87
2pzv	3.87	3.79
2q88	5.80	4.30
2q89	6.30	4.16
2qeh	8.62	4.48
2qvu	6.44	5.22
2r3d	-0.15	3.28
2r5p	8.48	10.39
2rde	7.01	6.25
2v8q	4.61	5.39
3b50	7.55	7.60
3bgq	7.96	6.71
3bgz	6.26	7.58
2v8y	5.71	6.09
2jgb	5.61	6.45
1gja	5.42	5.63
1swk	12.00	9.16
1toi	4.05	4.51
1iup	2.54	3.80
1tog	3.22	4.49
1uto	2.27	2.60
1ukb	3.19	3.42
2cjp	3.10	5.67
1vot	6.60	6.00
2fx6	3.70	3.50
2c1q	13.00	8.65
2e2p	4.74	4.39
2epn	7.22	5.13
2i2c	4.70	4.82
2j4k	4.85	5.18
2jdu	6.72	5.97
2jdy	4.37	4.22
2jke	4.23	5.84
2p3t	11.30	8.80
2p4y	9.00	6.75
2p7g	6.53	5.56
2pqc	5.74	6.68
2q6m	6.29	5.30
2q8z	5.68	5.91
2qbq	7.44	5.97
2qbr	6.33	6.15
2qdt	5.19	5.11
2qhy	7.48	10.84
2qhz	7.28	11.19
2qi1	7.30	11.05
2qi3	10.20	11.62
2qi4	10.44	12.25
2qi5	10.85	10.17
2qi6	10.57	12.10
2qmg	9.15	8.14
2qnq	6.11	7.11
2qrl	4.00	4.34
2qry	8.64	5.98
2r6w	9.36	8.73
2r75	6.15	6.04
2reg	5.57	5.24
2rkd	2.72	3.24
2uwl	8.40	8.10
2uwp	6.81	7.80
2uy4	4.68	5.53
2v2c	3.41	3.66
2v77	5.06	5.56
2v7t	7.48	5.47
2v7u	5.90	4.73
2v7v	6.66	4.20
2vhw	5.09	5.03
2vkm	8.74	7.79
2vmd	3.02	3.41
2vpn	6.72	6.19
2vuk	3.82	4.55
2vw5	8.52	7.06
2w26	9.40	8.51
2zmm	7.60	5.97
2zn7	7.89	6.51
3b3c	3.98	4.58
3b7r	7.70	7.55
3bex	5.57	3.81
3bl0	6.92	6.34
3brn	8.70	5.19
3bu1	8.15	3.73
3bxe	5.48	5.31
3c2f	2.00	6.52
3c2o	3.35	4.68
3c2r	3.11	5.04
3c7i	5.64	7.40
3ccw	7.87	7.66
3ccz	7.29	7.91
3cd7	7.84	8.51
3czv	7.80	7.90
3d2r	5.48	5.88
3d51	4.15	3.78
3d83	8.36	7.12
3ddg	6.00	3.52
3dp4	7.37	5.80
3e92	8.00	7.14
3eko	6.70	4.90
3ekr	5.55	5.37
3ene	6.24	7.77
3eqr	8.70	9.00
3f8c	7.68	6.25
3fat	7.64	6.03
