PDB	Labels	Predictions
4ypw	5.50	4.42
4ypx	4.60	3.95
4ypy	3.80	4.44
4ypz	3.50	3.99
4yq0	4.40	4.67
4yq1	8.30	6.51
4yq2	8.30	6.77
4yq3	6.80	7.12
4yq4	5.70	4.95
4yq5	5.40	4.75
4yq6	6.10	5.31
4yq7	5.20	5.49
4yq8	5.10	4.39
4yq9	6.70	4.49
4yqa	6.30	4.37
4yqb	5.90	5.42
4yqc	6.70	4.07
4yqd	5.10	6.93
4yqg	5.70	4.74
4yqi	4.80	5.32
4yqj	6.20	5.13
4yqk	4.70	4.34
4yql	4.80	6.96
4yqn	5.80	4.88
4yqo	6.30	5.25
4yqp	5.70	5.04
4yqq	6.10	4.89
4yqr	4.00	5.19
4yqs	5.60	4.99
4yqt	6.10	4.47
4yjo	7.90	8.27
4yjp	8.46	8.63
4yjq	7.95	9.47
4yjr	7.69	8.90
4yjs	9.39	8.68
4yjt	8.79	8.62
4yju	7.94	8.43
4yjv	8.55	8.12
4ykr	7.53	6.11
4ykq	7.61	6.50
4ykt	8.28	8.59
4ykw	7.02	6.93
4ykx	5.56	6.86
4ykz	5.06	7.03
4yky	4.30	6.24
4yku	5.12	6.01
