PDB	Labels	Predictions
6pgb	4.60	4.59
3rz1	8.74	9.40
6fnt	4.68	4.35
4ww8	10.17	10.38
5u6d	8.59	9.34
5ap7	6.29	6.39
4alx	7.28	7.49
4jg7	6.92	7.15
6hky	9.34	10.23
1moq	3.46	3.95
1uyg	4.27	4.58
4qyy	7.30	8.09
2rcw	8.10	9.27
5k0f	6.07	6.06
4x8v	6.89	7.56
5wev	6.82	7.68
2ei6	7.39	7.24
2xkd	5.64	6.08
6s9x	6.42	6.79
6nlj	4.82	4.83
6ugq	7.55	7.11
3hvk	8.52	9.16
3wym	9.52	10.45
4leq	6.54	6.63
3iej	6.66	7.27
2k0g	6.97	7.02
5teh	7.55	8.15
5xij	7.30	8.09
4mmm	3.82	3.54
6knh	3.55	3.48
3hwx	7.86	8.25
4w9x	7.40	8.43
2wkt	4.31	4.83
4uv8	6.47	6.99
4d8s	6.49	7.16
4p02	6.40	7.01
2ghg	8.82	9.34
3udd	7.10	7.54
5ccl	4.77	4.55
4cwo	5.21	5.33
4i7l	3.99	4.26
4ec0	6.07	6.67
6myn	7.85	8.83
5wr7	8.96	9.76
1o4d	3.52	3.76
3khv	1.85	2.04
1pf8	7.51	8.07
2j7e	7.32	7.86
5x73	6.74	6.95
5wip	4.71	5.07
6mmo	3.35	3.37
4g0z	2.21	2.14
2kaw	4.97	5.26
6nfg	4.11	4.13
1ai7	4.09	4.21
6skd	5.80	6.03
1qj1	8.05	8.97
1qhr	6.89	7.09
4u70	5.02	5.12
2p83	7.96	9.32
2p2h	7.17	7.97
4qpd	7.82	8.34
6fs1	7.01	7.42
5eob	9.62	10.95
4hai	8.10	8.80
6gjl	3.86	4.06
6gcw	8.64	10.13
3f19	7.19	7.32
6q37	6.36	6.43
4hdc	8.92	9.57
5aia	5.20	5.34
5j20	9.14	9.68
5ny1	6.44	7.03
5jfp	9.32	10.07
3n3g	7.24	7.91
5swh	7.59	8.45
4tpm	8.62	9.08
1xbc	7.92	8.64
2r38	7.44	7.41
4l6s	8.52	9.21
3r0y	4.84	4.97
1hk1	5.64	5.83
4zw7	4.72	5.92
3dkj	5.70	6.13
2ha6	4.32	4.75
3s56	9.62	9.02
5i9x	7.52	7.66
2bxt	8.52	9.09
3e6v	6.83	6.78
6ey7	4.30	4.69
6g3c	6.91	8.04
5oh3	3.87	4.09
4jnm	8.52	9.09
6fba	4.70	5.01
5zfi	5.92	6.07
1o0o	5.10	5.07
2xp5	3.44	3.57
6cvf	6.35	6.16
5xfj	8.22	8.98
6aej	6.15	6.49
5lvr	3.60	4.03
4ded	7.42	7.99
4p74	5.00	5.06
1b74	1.30	1.42
4ruz	7.64	8.15
4tpw	4.69	4.85
2c02	4.04	3.92
5za2	5.77	5.91
5tol	7.48	8.28
6jz0	7.82	8.38
5j7q	4.58	4.86
5mxf	3.59	3.92
2brg	5.21	5.30
4gg5	9.03	9.49
5wf3	5.85	6.81
3mhl	7.25	7.64
4kiq	7.64	8.74
4pin	5.40	5.58
3zxh	8.52	8.89
2nt7	6.52	7.18
5l6p	7.26	7.95
4uiu	7.90	8.09
3oaw	8.15	8.94
3dnt	4.74	4.95
4o55	5.30	7.14
1bm7	7.52	7.93
6dvm	8.52	9.65
3ihz	6.80	6.89
4hbv	4.64	4.46
3oy1	7.80	8.63
5jcj	4.42	4.53
5kks	8.70	9.29
1ung	6.80	7.09
2o8h	7.60	8.56
2cex	4.70	4.96
3vi5	5.68	5.72
4r92	7.41	8.13
3mrx	3.39	3.72
3mzc	6.65	7.43
4di2	8.26	9.01
5nxw	7.24	7.69
4ie5	4.82	4.98
4q7v	3.59	4.04
6bhv	5.23	5.47
4mk0	5.20	5.29
4r5t	6.10	6.10
3iaf	2.92	3.51
6g2r	9.46	9.98
4d83	7.26	8.19
4zei	5.88	5.94
5h1t	3.80	3.46
5q0u	6.76	7.40
2gh6	4.95	5.12
4ona	8.15	8.90
5umy	6.97	7.37
5uga	6.79	7.66
2aod	5.66	6.28
5nuu	8.20	8.00
6dgo	5.47	5.76
1lhg	7.10	7.70
3iod	4.10	4.01
2yex	10.00	10.13
6q54	6.49	7.04
5w6e	8.04	8.64
6i63	7.01	6.72
5f2k	6.16	6.72
2qcg	4.00	4.23
6fu5	7.50	8.09
4o3f	5.56	5.99
5khi	6.77	7.56
3kqy	4.82	4.98
4z0q	8.17	9.01
6c8c	6.38	6.75
5u69	6.22	6.59
6c3u	5.40	5.60
2cmc	5.76	6.48
2ww2	4.85	5.43
4x0f	7.00	7.08
2xru	7.51	7.98
6gnr	5.44	5.34
4cc6	6.64	7.10
3uvq	7.77	8.19
5zo8	8.20	8.98
5am4	6.95	7.63
5mi9	8.35	8.21
6j06	6.59	7.09
6rfi	7.43	8.29
3f3u	4.74	5.26
2fwy	6.70	7.48
3ipb	6.70	7.32
6fe0	6.48	7.25
5kh3	4.22	4.30
1w1d	6.52	6.71
2xgo	3.00	3.31
3n0n	7.30	7.48
5ak4	4.23	4.56
6f6s	2.89	3.28
5tq4	8.38	9.68
4tmr	7.22	7.82
4o05	7.43	7.93
2qi7	10.21	11.44
6mmc	3.61	3.37
3d4q	10.52	11.62
4xx4	7.36	7.48
5fqv	6.21	6.62
6fsy	6.61	7.04
1v2l	4.29	4.28
2oz6	5.26	5.20
4hyh	9.00	9.55
