PDB	Labels	Predictions
1gm8	4.80	6.07
1gpk	5.37	7.39
1hnn	6.24	7.16
1hp0	6.70	5.79
1hq2	6.77	5.44
1hvy	6.17	7.00
1hwi	7.55	7.87
1hww	7.70	5.47
1ia1	7.47	5.67
1j3j	8.01	4.64
1jd0	8.24	6.39
1jje	8.43	4.92
1ke5	6.25	5.62
1kzk	10.40	9.48
1l2s	4.59	3.87
1l7f	9.10	8.24
1lpz	7.60	8.87
1lrh	6.82	6.63
1m2z	7.22	7.66
1mmv	7.24	2.64
1n1m	5.70	4.38
1n2v	4.08	5.41
1n46	10.52	8.47
1nav	7.60	6.57
1of1	4.82	3.73
1of6	6.05	4.58
1opk	9.82	7.68
1oq5	7.68	8.16
1owe	6.20	6.60
1oyt	7.24	7.63
1p2y	5.00	3.24
1p62	4.66	6.54
1pmn	8.15	8.33
1q1g	8.57	5.77
1q41	7.66	7.98
1q4g	6.89	6.36
1r1h	8.92	6.19
1r55	6.80	6.59
1r58	6.96	6.64
1r9o	5.02	4.23
1s19	9.51	7.78
1s3v	7.42	8.25
1sg0	7.47	5.05
1sj0	9.10	8.61
1sq5	4.39	5.29
1sqn	9.40	7.90
1t40	7.96	6.40
1t46	6.38	7.45
1t9b	6.90	3.88
1tow	6.24	5.54
1tt1	7.19	7.39
1u1c	5.37	5.56
1uml	7.52	7.06
1unl	6.70	6.41
1uou	7.70	6.53
1v0p	6.89	7.35
1v48	8.16	9.10
1v4s	6.44	6.86
1vcj	4.59	6.24
1w1p	2.30	2.98
1w2g	4.57	3.52
1xm6	6.38	5.19
1xoq	9.17	9.15
1xoz	8.92	8.61
1y6b	7.42	7.82
1ygc	9.46	8.11
1yqy	7.62	6.55
1ywr	7.49	8.70
1z95	7.12	8.20
2bm2	7.82	5.60
2br1	5.14	6.40
2bsm	5.82	7.48
