PDB	Labels	Predictions
4ypw	5.50	5.47
4ypx	4.60	3.56
4ypy	3.80	4.17
4ypz	3.50	3.56
4yq0	4.40	5.18
4yq1	8.30	6.25
4yq2	8.30	6.26
4yq3	6.80	5.77
4yq4	5.70	5.58
4yq5	5.40	5.54
4yq6	6.10	6.17
4yq7	5.20	5.34
4yq8	5.10	3.52
4yq9	6.70	5.80
4yqa	6.30	5.67
4yqb	5.90	5.85
4yqc	6.70	5.74
4yqd	5.10	6.48
4yqg	5.70	4.72
4yqi	4.80	5.51
4yqj	6.20	6.20
4yqk	4.70	5.11
4yql	4.80	6.46
4yqn	5.80	5.63
4yqo	6.30	5.75
4yqp	5.70	6.58
4yqq	6.10	6.25
4yqr	4.00	3.43
4yqs	5.60	4.49
4yqt	6.10	5.54
4yjo	7.90	7.19
4yjp	8.46	7.48
4yjq	7.95	8.26
4yjr	7.69	8.24
4yjs	9.39	7.60
4yjt	8.79	7.13
4yju	7.94	7.59
4yjv	8.55	8.21
4ykr	7.53	6.83
4ykq	7.61	6.75
4ykt	8.28	7.70
4ykw	7.02	6.37
4ykx	5.56	5.80
4ykz	5.06	5.02
4yky	4.30	5.11
4yku	5.12	4.91
