PDB	Labels	Predictions
3m1k	5.39	4.02
3rz1	8.74	9.10
5u6d	8.59	8.26
5tuy	6.35	6.68
4u6r	7.85	7.88
6hky	9.34	9.92
3bkl	6.17	6.20
2rcw	8.10	7.13
5alg	7.52	7.77
5k0f	6.07	6.14
4x8v	6.89	7.15
5wev	6.82	7.50
2ei6	7.39	8.08
2xkd	5.64	5.19
5j9f	7.23	7.62
6s9x	6.42	7.42
6nlj	4.82	4.70
1ett	5.89	7.06
6ugq	7.55	7.47
3hvk	8.52	8.12
3wym	9.52	8.96
4leq	6.54	6.74
2p8n	3.15	4.18
3iej	6.66	7.12
5aae	7.46	7.37
5teh	7.55	7.48
5xij	7.30	7.56
3gt9	3.96	4.48
6ouv	5.55	5.76
6knh	3.55	3.87
4w9x	7.40	7.35
2wkt	4.31	4.15
4uv8	6.47	6.28
4p02	6.40	6.50
2ghg	8.82	8.15
5a3s	8.68	8.23
4cwo	5.21	5.49
4i7l	3.99	3.74
6abk	1.95	1.54
6myn	7.85	8.12
5wr7	8.96	8.93
6hys	5.59	6.46
1o4d	3.52	2.85
3aas	4.51	4.00
1pf8	7.51	7.19
6mjf	5.16	5.22
2j7e	7.32	6.92
5x73	6.74	6.86
6mmo	3.35	4.95
6nfg	4.11	4.15
1ai7	4.09	3.59
4fcb	8.54	8.34
1qj1	8.05	7.72
1qhr	6.89	7.15
4u70	5.02	4.97
2p83	7.96	7.81
2p2h	7.17	7.76
4qpd	7.82	6.69
3b3x	3.60	3.11
5eob	9.62	8.30
3fhe	8.60	7.13
4hai	8.10	8.32
6gjl	3.86	4.10
5jv0	5.96	5.83
6gcw	8.64	8.41
4hdc	8.92	9.05
5aia	5.20	5.29
4bhi	7.05	6.87
3n3g	7.24	7.29
5swh	7.59	7.79
4tpm	8.62	8.90
4klv	3.78	3.72
1xbc	7.92	7.91
1hk1	5.64	6.05
3dkj	5.70	6.63
2bxt	8.52	8.83
6pgx	9.21	8.87
3e6v	6.83	6.69
6ey7	4.30	4.28
6g3c	6.91	7.33
4jnm	8.52	8.14
5zfi	5.92	5.90
1o0o	5.10	5.00
5q0p	7.41	7.50
6cvf	6.35	5.19
4qsx	1.74	2.00
6aej	6.15	5.78
5lvr	3.60	3.75
1hk3	6.59	6.05
4ded	7.42	7.93
5y0x	5.11	6.16
3mj1	7.82	8.16
4tpw	4.69	5.22
6fa5	6.75	6.64
5za2	5.77	7.76
5kr1	9.49	9.58
5tol	7.48	7.56
5j7q	4.58	5.57
3v4j	5.04	5.15
5o5a	4.77	5.70
2brg	5.21	4.82
4gg5	9.03	8.86
4amy	10.82	10.01
3mhl	7.25	6.46
4kiq	7.64	7.59
4pin	5.40	5.53
4ei4	8.74	8.66
2nt7	6.52	6.91
5l6p	7.26	6.19
4uiu	7.90	7.25
3dnt	4.74	4.70
2viz	6.22	6.92
3oqf	7.04	7.32
6dvm	8.52	8.28
3ihz	6.80	6.75
3sb0	5.26	5.62
4a4f	2.88	2.87
4hbv	4.64	4.81
4xkb	6.10	6.35
5jcj	4.42	5.29
3pd8	6.46	6.07
5kks	8.70	7.36
1ung	6.80	6.23
2o8h	7.60	7.95
4hxl	5.66	5.98
3vi5	5.68	6.38
4r92	7.41	7.74
3mzc	6.65	7.91
4qtl	6.92	7.93
4di2	8.26	8.69
5hzx	8.55	8.41
4q7v	3.59	3.63
6bhv	5.23	6.61
2ckm	8.82	7.96
4mk0	5.20	6.20
4r5t	6.10	5.74
1y2e	6.80	6.10
3iaf	2.92	3.27
4fli	5.44	5.92
4zei	5.88	5.90
5h1t	3.80	3.60
2gh6	4.95	5.22
4ona	8.15	8.76
5umy	6.97	7.03
5uga	6.79	7.72
5nuu	8.20	7.93
1lhg	7.10	8.54
3iod	4.10	3.81
5eak	9.30	9.30
6q54	6.49	5.95
5w6e	8.04	8.14
2i4u	11.57	10.16
2qcg	4.00	4.44
4o3f	5.56	5.25
5khi	6.77	5.64
4iif	5.18	5.04
3kqy	4.82	4.74
4k6i	6.20	6.56
4z0q	8.17	8.51
4x3u	5.09	4.40
4mma	6.04	5.01
6c8c	6.38	6.68
6c3u	5.40	5.96
3tzm	7.77	8.24
2ww2	4.85	5.21
2xru	7.51	7.69
3abu	5.62	5.71
4n00	8.02	7.90
4cc6	6.64	7.04
5zo8	8.20	7.38
2v12	9.05	8.93
6j06	6.59	5.75
4yne	8.52	8.06
