PDB	Labels	Predictions
10gs	6.40	5.32
1bcu	3.28	3.09
1e66	9.89	7.79
1f8b	5.40	5.15
1f8c	7.40	7.36
1f8d	3.40	5.64
1gpk	5.37	8.33
1h23	8.35	7.13
1hfs	8.70	8.52
1hnn	6.24	6.77
1lbk	3.18	4.40
1lol	6.39	5.81
1loq	3.70	4.18
1lor	11.06	9.49
1mq6	11.15	8.76
1n1m	5.70	4.52
1n2v	4.08	4.22
1nvq	8.25	7.50
1o3f	7.96	4.58
1o5b	5.77	5.72
1os0	6.03	6.56
1oyt	7.24	6.53
1p1q	4.89	5.72
1ps3	2.28	5.75
1r5y	6.46	5.55
1sqa	9.21	7.41
1u1b	7.80	5.54
1u33	4.60	2.74
1uto	2.27	2.07
1vso	4.72	7.06
1w4o	5.22	4.56
1xd0	7.12	2.60
1yc1	6.17	6.33
1z95	7.12	8.60
2brb	4.86	5.57
2cbj	8.27	5.84
2cet	8.02	6.54
2d1o	7.70	7.79
2fvd	8.52	7.50
2g70	7.77	6.09
2hb1	3.80	4.52
2iwx	6.68	5.94
2j62	11.34	7.05
2j78	6.42	5.04
2jdm	5.40	5.25
2jdu	6.72	5.25
2jdy	4.37	5.57
2obf	8.85	7.65
2ole	7.25	7.91
2p4y	9.00	7.03
2pq9	8.11	6.31
2qbp	8.40	6.86
2qbr	6.33	5.76
2qft	5.26	3.64
2v00	3.66	2.59
2v7a	8.30	8.25
2vl4	6.01	5.61
2vo5	4.89	7.78
2vot	7.14	8.11
2vvn	7.30	7.44
2vw5	8.52	7.24
2w66	4.05	6.30
2wbg	4.45	6.00
2wca	5.60	6.65
2weg	6.50	6.96
2wtv	8.74	7.91
2x00	11.33	8.36
2x0y	4.60	4.65
2x8z	7.96	6.41
2x97	5.66	6.70
2xb8	7.59	6.19
2xbv	8.43	8.76
2xdl	3.10	4.55
2xhm	6.80	5.74
2xnb	6.83	7.31
2xy9	9.19	8.23
2xys	7.42	7.79
2y5h	5.79	8.11
2yfe	6.63	5.87
2yge	5.06	5.80
2yki	9.46	6.87
2ymd	3.16	5.08
2zcq	8.82	6.55
2zcr	6.87	7.18
2zjw	7.70	5.36
2zwz	7.79	8.29
2zx6	10.60	9.94
2zxd	5.22	7.63
3acw	4.76	6.00
3ag9	8.05	7.25
3ao4	2.07	2.55
3b68	8.40	8.18
3bfu	6.27	6.54
3bkk	6.08	7.32
3cft	4.19	5.84
3coy	6.02	3.52
3cyx	8.00	6.91
3d4z	4.89	4.28
3dd0	9.00	8.25
3dxg	2.40	4.51
3e93	8.85	8.03
3ebp	5.91	6.66
3ehy	5.85	5.78
3ejr	8.57	8.33
3f17	8.63	7.26
3f3c	6.02	4.19
3f80	4.22	2.58
3fcq	2.77	3.48
3fk1	2.62	4.02
3fv1	9.30	8.44
3g0w	9.52	8.55
3g2n	4.09	4.76
3g2z	2.36	3.40
3gbb	6.90	7.33
3gcs	7.25	6.29
3ge7	8.70	7.63
3gy4	5.10	3.26
3huc	5.99	7.31
3i3b	2.23	3.35
3imc	2.96	3.31
3ivg	4.30	5.33
3jvs	6.54	6.92
3k5v	6.30	7.58
3kgp	2.57	2.75
3kv2	7.32	5.96
3kwa	4.08	6.95
3l3n	8.18	7.25
3l7b	2.40	4.59
3lka	2.82	6.74
3mfv	2.52	3.63
3mss	4.66	5.45
3muz	3.46	3.64
3myg	10.70	7.77
3n7a	3.70	4.01
3n86	5.64	5.98
3nox	8.66	8.40
3nq3	3.78	5.83
3nw9	9.00	7.14
3oe5	6.88	6.90
3owj	6.07	6.53
3ozt	4.13	6.62
3pe2	9.76	8.18
3pww	7.32	6.24
3pxf	4.43	3.93
3u9q	4.38	4.83
3udh	2.85	3.79
3ueu	5.24	6.01
3uex	6.92	6.37
3uo4	6.52	7.53
3utu	10.92	8.55
3vd4	4.82	3.64
3vh9	6.24	4.60
3zso	5.12	5.65
3zsx	3.28	5.84
4de1	5.96	5.38
4de2	4.12	5.53
4des	5.85	6.57
4dew	7.00	6.45
4djr	11.52	10.59
4djv	6.72	6.80
4g8m	7.89	5.71
4gid	10.77	7.85
4gqq	2.89	3.55
4tmn	10.17	6.51
