PDB	Labels	Predictions
2are	3.28	3.63
2oag	8.47	8.66
2jbj	9.70	8.73
2pwd	4.40	4.41
2pwg	4.82	4.38
2oym	5.00	6.59
2hzy	7.39	3.70
2ihj	4.59	6.12
2ojg	5.64	7.09
2hzl	6.57	5.63
2ovv	7.92	7.53
2nta	4.80	5.79
2qu6	8.52	8.01
2pog	9.54	8.41
2o4j	10.10	8.40
3b92	8.00	7.53
2p98	6.19	5.66
2z4b	9.36	9.09
2jj3	9.55	9.03
2h15	5.67	7.90
2pov	7.12	6.53
2pow	7.20	8.16
2nmx	5.57	6.16
1vso	4.72	7.06
2p95	9.37	8.64
2p16	10.10	8.01
2flr	6.10	5.45
2pgz	5.74	6.20
2bys	9.52	8.13
2gkl	5.35	5.70
2nsl	4.68	3.12
2nsj	4.79	3.12
2c92	5.68	6.27
2c94	6.82	7.55
2nnq	8.70	7.26
2psv	7.24	8.63
2cem	7.92	9.84
2cen	8.30	9.95
2q54	9.01	8.87
2b3f	6.03	4.93
2bbf	5.10	5.86
2e2r	8.26	6.76
2gz2	5.22	4.88
2hr6	4.92	5.39
2idz	9.40	6.20
2ihk	4.16	6.12
2jff	3.62	3.05
2oiq	4.94	7.42
2otz	3.63	3.71
2ou0	3.23	3.30
2pjo	0.05	2.62
2pzv	3.87	4.61
2q88	5.80	4.75
2q89	6.30	4.85
2qeh	8.62	5.30
2qvu	6.44	6.28
2r3d	-0.15	2.93
2r5p	8.48	9.03
2rde	7.01	7.06
2v8q	4.61	5.23
3b50	7.55	7.02
3bgq	7.96	7.93
3bgz	6.26	4.37
2v8y	5.71	5.24
2jgb	5.61	4.93
1gja	5.42	6.29
1swk	12.00	9.41
1toi	4.05	2.60
1iup	2.54	2.66
1tog	3.22	2.60
1uto	2.27	2.07
1ukb	3.19	2.69
2cjp	3.10	3.96
1vot	6.60	8.33
2fx6	3.70	2.88
2c1q	13.00	10.46
2e2p	4.74	5.05
2epn	7.22	6.63
2i2c	4.70	4.15
2j4k	4.85	4.93
2jdu	6.72	5.25
2jdy	4.37	5.57
2jke	4.23	4.24
2p3t	11.30	8.35
2p4y	9.00	7.03
2p7g	6.53	6.76
2pqc	5.74	6.40
2q6m	6.29	6.03
2q8z	5.68	6.02
2qbq	7.44	6.10
2qbr	6.33	5.76
2qdt	5.19	4.34
2qhy	7.48	8.46
2qhz	7.28	9.49
2qi1	7.30	8.78
2qi3	10.20	8.67
2qi4	10.44	8.75
2qi5	10.85	8.72
2qi6	10.57	8.57
2qmg	9.15	8.78
2qnq	6.11	5.45
2qrl	4.00	3.40
2qry	8.64	6.45
2r6w	9.36	8.54
2r75	6.15	4.71
2reg	5.57	6.03
2rkd	2.72	4.06
2uwl	8.40	7.78
2uwp	6.81	7.80
2uy4	4.68	5.02
2v2c	3.41	3.43
2v77	5.06	4.99
2v7t	7.48	5.90
2v7u	5.90	6.07
2v7v	6.66	4.96
2vhw	5.09	5.64
2vkm	8.74	8.08
2vmd	3.02	3.98
2vpn	6.72	5.42
2vuk	3.82	4.03
2vw5	8.52	7.24
2w26	9.40	7.14
2zmm	7.60	5.94
2zn7	7.89	6.00
3b3c	3.98	5.18
3b7r	7.70	8.35
3bex	5.57	3.37
3bl0	6.92	7.69
3brn	8.70	5.00
3bu1	8.15	3.40
3bxe	5.48	5.06
3c2f	2.00	6.34
3c2o	3.35	4.89
3c2r	3.11	4.47
3c7i	5.64	8.35
3ccw	7.87	8.47
3ccz	7.29	9.16
3cd7	7.84	8.40
3czv	7.80	8.32
3d2r	5.48	5.27
3d51	4.15	3.15
3d83	8.36	7.06
3ddg	6.00	5.75
3dp4	7.37	6.00
3e92	8.00	8.29
3eko	6.70	5.24
3ekr	5.55	6.79
3ene	6.24	7.46
3eqr	8.70	7.62
3f8c	7.68	5.90
3fat	7.64	5.82
