	PDB	Labels	Predictions
0	4fjk	6.55	6.36
1	2v7u	5.9	5.99
2	2hzl	6.57	4.54
3	2q89	6.3	5.66
4	1ukb	3.19	4.57
5	3c2f	2.0	5.16
6	2gz2	5.22	5.37
7	2v7v	6.66	6.01
8	3bu1	8.15	5.16
9	2qdt	5.19	4.69
10	1toi	4.05	4.63
11	2hzy	7.39	6.28
12	2pwd	4.4	5.23
13	2nsl	4.68	5.48
14	2qrl	4.0	4.21
15	2j4k	4.85	5.45
16	2cjp	3.1	5.23
17	1iup	2.54	3.45
18	2qry	8.64	6.32
19	2ihk	4.16	6.43
20	2nsj	4.79	5.57
21	2e2p	4.74	5.84
22	2pwg	4.82	5.14
23	2b3f	6.03	4.42
24	3brn	8.7	6.1
25	3c2r	3.11	4.28
26	2jgb	5.61	5.23
27	1tog	3.22	4.48
28	2v7t	7.48	5.73
29	2vhw	5.09	5.8
30	2q88	5.8	5.23
31	2vmd	3.02	3.67
32	3c2o	3.35	4.72
33	2ihj	4.59	6.02
34	1e2k	4.94	6.17
35	1u1w	5.85	5.8
36	2bvd	6.0	5.22
37	2aac	2.22	4.79
38	1tok	2.47	3.77
39	1dy4	4.36	6.22
40	1uz4	3.4	4.8
41	1gww	4.28	5.08
42	1x8d	2.21	4.63
43	1ui0	7.06	4.23
44	1lrh	6.82	5.36
45	1nw5	5.21	5.96
46	1v1j	4.82	4.3
47	2qrk	4.26	4.67
48	1h46	3.57	5.94
49	1gx0	4.28	5.17
50	4ubp	5.59	4.55
51	1bcj	3.7	3.84
52	1toj	3.39	4.41
53	1ia1	7.47	6.78
54	1sg0	7.47	5.56
55	1t9b	6.9	6.85
56	1of6	6.05	6.86
57	1t40	7.96	7.77
58	1mmv	7.24	6.28
59	1r55	6.8	6.79
60	1p2y	5.0	5.42
61	1sq5	4.39	5.46
62	1u1c	5.37	6.42
63	1r9o	5.02	6.4
64	1s19	9.51	6.92
65	1of1	4.82	6.43
66	1v4s	6.44	7.81
