	PDB	Labels	Predictions
0	2v7u	5.9	5.06
1	2hzl	6.57	5.15
2	2q89	6.3	5.04
3	1ukb	3.19	3.97
4	3c2f	2.0	4.86
5	2gz2	5.22	4.82
6	2v7v	6.66	4.23
7	3bu1	8.15	3.82
8	2qdt	5.19	5.96
9	1toi	4.05	4.29
10	2hzy	7.39	6.89
11	2pwd	4.4	4.38
12	2nsl	4.68	4.59
13	2qrl	4.0	3.51
14	2j4k	4.85	4.21
15	2cjp	3.1	5.11
16	1iup	2.54	4.0
17	2qry	8.64	7.23
18	2ihk	4.16	4.4
19	2nsj	4.79	4.66
20	2e2p	4.74	4.29
21	2pwg	4.82	5.44
22	2b3f	6.03	4.44
23	3brn	8.7	4.41
24	3c2r	3.11	3.78
25	2jgb	5.61	5.67
26	1tog	3.22	4.38
27	2v7t	7.48	5.95
28	2vhw	5.09	5.43
29	2q88	5.8	4.98
30	2vmd	3.02	3.87
31	3c2o	3.35	4.25
32	2ihj	4.59	4.37
33	1e2k	4.94	7.99
34	1u1w	5.85	5.74
35	2bvd	6.0	6.14
36	2aac	2.22	4.26
37	1tok	2.47	2.95
38	1dy4	4.36	5.63
39	1uz4	3.4	4.65
40	1gww	4.28	4.78
41	1x8d	2.21	4.28
42	1ui0	7.06	5.54
43	1lrh	6.82	4.63
44	1nw5	5.21	5.03
45	1v1j	4.82	4.58
46	2qrk	4.26	3.99
47	1h46	3.57	5.26
48	1gx0	4.28	4.82
49	4ubp	5.59	6.97
50	1bcj	3.7	4.07
51	1toj	3.39	4.36
52	1ia1	7.47	8.67
53	1sg0	7.47	4.4
54	1t9b	6.9	5.89
55	1of6	6.05	5.0
56	1t40	7.96	7.34
57	1mmv	7.24	4.81
58	1r55	6.8	6.74
59	1p2y	5.0	5.43
60	1sq5	4.39	5.17
61	1u1c	5.37	5.22
62	1r9o	5.02	5.14
63	1s19	9.51	7.14
64	1of1	4.82	8.19
65	1v4s	6.44	6.4
