	PDB	Labels	Predictions
0	4fjk	6.55	0.0
1	2v7u	5.9	6.22
2	2hzl	6.57	5.17
3	2q89	6.3	4.76
4	1ukb	3.19	4.48
5	3c2f	2.0	2.93
6	2gz2	5.22	1.53
7	2v7v	6.66	6.25
8	3bu1	8.15	4.8
9	2qdt	5.19	5.23
10	1toi	4.05	4.27
11	2hzy	7.39	6.38
12	2pwd	4.4	4.42
13	2nsl	4.68	5.6
14	2qrl	4.0	5.17
15	2j4k	4.85	6.32
16	2cjp	3.1	6.0
17	1iup	2.54	3.58
18	2qry	8.64	6.25
19	2ihk	4.16	5.48
20	2nsj	4.79	6.7
21	2e2p	4.74	0.0
22	2pwg	4.82	4.05
23	2b3f	6.03	6.5
24	3brn	8.7	5.28
25	3c2r	3.11	4.22
26	2jgb	5.61	4.73
27	1tog	3.22	4.13
28	2v7t	7.48	6.55
29	2vhw	5.09	0.0
30	2q88	5.8	4.8
31	2vmd	3.02	4.02
32	3c2o	3.35	4.3
33	2ihj	4.59	5.59
34	1e2k	4.94	5.95
35	1u1w	5.85	6.14
36	2bvd	6.0	5.91
37	2aac	2.22	5.76
38	1tok	2.47	6.01
39	1dy4	4.36	6.37
40	1uz4	3.4	5.92
41	1gww	4.28	5.05
42	1x8d	2.21	5.34
43	1ui0	7.06	4.98
44	1lrh	6.82	5.66
45	1nw5	5.21	5.95
46	1v1j	4.82	3.94
47	2qrk	4.26	4.2
48	1h46	3.57	5.89
49	1gx0	4.28	5.16
50	4ubp	5.59	4.88
51	1bcj	3.7	3.31
52	1toj	3.39	4.47
53	1ia1	7.47	6.06
54	1sg0	7.47	5.3
55	1t9b	6.9	6.72
56	1of6	6.05	5.46
57	1t40	7.96	5.76
58	1mmv	7.24	6.66
59	1r55	6.8	5.28
60	1p2y	5.0	5.89
61	1sq5	4.39	4.66
62	1u1c	5.37	5.82
63	1r9o	5.02	5.66
64	1s19	9.51	6.5
65	1of1	4.82	5.58
66	1v4s	6.44	5.82
