	PDB	Labels	Predictions
0	4fjk	6.55	6.43
1	2v7u	5.9	7.25
2	2hzl	6.57	4.43
3	2q89	6.3	5.33
4	1ukb	3.19	2.7
5	3c2f	2.0	1.98
6	2gz2	5.22	3.85
7	2v7v	6.66	6.23
8	3bu1	8.15	2.92
9	2qdt	5.19	2.46
10	1toi	4.05	3.97
11	2hzy	7.39	5.69
12	2pwd	4.4	6.49
13	2nsl	4.68	3.11
14	2qrl	4.0	2.53
15	2j4k	4.85	4.48
16	2cjp	3.1	6.51
17	1iup	2.54	2.32
18	2qry	8.64	6.93
19	2ihk	4.16	4.91
20	2nsj	4.79	3.15
21	2e2p	4.74	4.81
22	2pwg	4.82	6.27
23	2b3f	6.03	5.42
24	3brn	8.7	4.52
25	3c2r	3.11	6.0
26	2jgb	5.61	6.16
27	1tog	3.22	3.94
28	2v7t	7.48	6.38
29	2vhw	5.09	8.02
30	2q88	5.8	5.92
31	2vmd	3.02	2.53
32	3c2o	3.35	5.57
33	2ihj	4.59	4.5
34	1e2k	4.94	5.17
35	1u1w	5.85	3.1
36	2bvd	6.0	6.1
37	2aac	2.22	6.6
38	1tok	2.47	5.31
39	1dy4	4.36	5.48
40	1uz4	3.4	5.11
41	1gww	4.28	3.62
42	1x8d	2.21	2.85
43	1ui0	7.06	2.43
44	1lrh	6.82	3.88
45	1nw5	5.21	5.71
46	1v1j	4.82	4.09
47	2qrk	4.26	4.1
48	1h46	3.57	6.15
49	1gx0	4.28	3.52
50	4ubp	5.59	2.12
51	1bcj	3.7	2.18
52	1toj	3.39	3.92
53	1ia1	7.47	5.61
54	1sg0	7.47	5.72
55	1t9b	6.9	6.45
56	1of6	6.05	5.43
57	1t40	7.96	7.67
58	1mmv	7.24	2.69
59	1r55	6.8	6.49
60	1p2y	5.0	2.54
61	1sq5	4.39	3.84
62	1u1c	5.37	5.26
63	1r9o	5.02	3.98
64	1s19	9.51	7.41
65	1of1	4.82	5.0
66	1v4s	6.44	5.06
