	PDB	Labels	Predictions
0	4fjk	6.55	4.81
1	2v7u	5.9	6.26
2	2hzl	6.57	4.45
3	2q89	6.3	6.13
4	1ukb	3.19	4.68
5	3c2f	2.0	5.04
6	2gz2	5.22	4.9
7	2v7v	6.66	5.81
8	3bu1	8.15	4.55
9	2qdt	5.19	4.56
10	1toi	4.05	4.32
11	2hzy	7.39	6.68
12	2pwd	4.4	5.0
13	2nsl	4.68	5.16
14	2qrl	4.0	3.72
15	2j4k	4.85	5.2
16	2cjp	3.1	4.79
17	1iup	2.54	3.68
18	2qry	8.64	6.79
19	2ihk	4.16	5.09
20	2nsj	4.79	5.22
21	2e2p	4.74	4.98
22	2pwg	4.82	5.09
23	2b3f	6.03	5.03
24	3brn	8.7	6.39
25	3c2r	3.11	4.46
26	2jgb	5.61	5.72
27	1tog	3.22	4.33
28	2v7t	7.48	6.21
29	2vhw	5.09	5.37
30	2q88	5.8	6.01
31	2vmd	3.02	3.7
32	3c2o	3.35	4.69
33	2ihj	4.59	4.88
34	1e2k	4.94	6.0
35	1u1w	5.85	5.95
36	2bvd	6.0	5.68
37	2aac	2.22	4.82
38	1tok	2.47	3.82
39	1dy4	4.36	6.47
40	1uz4	3.4	5.34
41	1gww	4.28	5.35
42	1x8d	2.21	5.34
43	1ui0	7.06	4.6
44	1lrh	6.82	5.83
45	1nw5	5.21	5.59
46	1v1j	4.82	4.22
47	2qrk	4.26	4.01
48	1h46	3.57	5.88
49	1gx0	4.28	5.47
50	4ubp	5.59	4.7
51	1bcj	3.7	5.28
52	1toj	3.39	4.41
53	1ia1	7.47	5.79
54	1sg0	7.47	5.5
55	1t9b	6.9	6.05
56	1of6	6.05	5.86
57	1t40	7.96	7.29
58	1mmv	7.24	5.05
59	1r55	6.8	5.56
60	1p2y	5.0	4.0
61	1sq5	4.39	4.85
62	1u1c	5.37	5.7
63	1r9o	5.02	5.67
64	1s19	9.51	8.87
65	1of1	4.82	6.13
66	1v4s	6.44	7.65
