	PDB	Labels	Predictions
0	4fjk	6.55	6.1
1	2v7u	5.9	6.23
2	2hzl	6.57	4.97
3	2q89	6.3	5.4
4	1ukb	3.19	4.44
5	3c2f	2.0	5.26
6	2gz2	5.22	4.83
7	2v7v	6.66	5.68
8	3bu1	8.15	4.55
9	2qdt	5.19	5.57
10	1toi	4.05	4.55
11	2hzy	7.39	6.12
12	2pwd	4.4	5.64
13	2nsl	4.68	5.36
14	2qrl	4.0	4.62
15	2j4k	4.85	6.06
16	2cjp	3.1	5.34
17	1iup	2.54	4.3
18	2qry	8.64	7.33
19	2ihk	4.16	5.51
20	2nsj	4.79	5.14
21	2e2p	4.74	5.0
22	2pwg	4.82	5.9
23	2b3f	6.03	5.46
24	3brn	8.7	5.13
25	3c2r	3.11	5.0
26	2jgb	5.61	5.11
27	1tog	3.22	4.66
28	2v7t	7.48	6.4
29	2vhw	5.09	5.8
30	2q88	5.8	5.19
31	2vmd	3.02	4.02
32	3c2o	3.35	4.97
33	2ihj	4.59	6.0
34	1e2k	4.94	6.62
35	1u1w	5.85	4.68
36	2bvd	6.0	6.05
37	2aac	2.22	4.62
38	1tok	2.47	4.04
39	1dy4	4.36	6.38
40	1uz4	3.4	5.62
41	1gww	4.28	4.73
42	1x8d	2.21	4.76
43	1ui0	7.06	4.08
44	1lrh	6.82	5.65
45	1nw5	5.21	5.66
46	1v1j	4.82	5.78
47	2qrk	4.26	5.47
48	1h46	3.57	6.16
49	1gx0	4.28	5.41
50	4ubp	5.59	4.77
51	1bcj	3.7	4.22
52	1toj	3.39	4.6
53	1ia1	7.47	6.78
54	1sg0	7.47	5.29
55	1t9b	6.9	6.58
56	1of6	6.05	5.37
57	1t40	7.96	6.4
58	1mmv	7.24	5.38
59	1r55	6.8	5.55
60	1p2y	5.0	5.24
61	1sq5	4.39	5.27
62	1u1c	5.37	6.38
63	1r9o	5.02	6.22
64	1s19	9.51	7.4
65	1of1	4.82	6.2
66	1v4s	6.44	6.14
