	PDB	Labels	Predictions
0	4fjk	6.55	5.07
1	2v7u	5.9	6.36
2	2hzl	6.57	3.93
3	2q89	6.3	5.48
4	1ukb	3.19	4.61
5	3c2f	2.0	5.74
6	2gz2	5.22	6.02
7	2v7v	6.66	6.06
8	3bu1	8.15	4.26
9	2qdt	5.19	3.95
10	1toi	4.05	4.27
11	2hzy	7.39	6.1
12	2pwd	4.4	5.4
13	2nsl	4.68	5.95
14	2qrl	4.0	4.27
15	2j4k	4.85	5.44
16	2cjp	3.1	4.4
17	1iup	2.54	4.69
18	2qry	8.64	6.39
19	2ihk	4.16	6.11
20	2nsj	4.79	5.92
21	2e2p	4.74	5.41
22	2pwg	4.82	5.52
23	2b3f	6.03	5.38
24	3brn	8.7	5.56
25	3c2r	3.11	4.19
26	2jgb	5.61	5.14
27	1tog	3.22	4.42
28	2v7t	7.48	6.08
29	2vhw	5.09	5.21
30	2q88	5.8	5.27
31	2vmd	3.02	3.52
32	3c2o	3.35	4.62
33	2ihj	4.59	6.15
34	1e2k	4.94	6.4
35	1u1w	5.85	5.17
36	2bvd	6.0	5.6
37	2aac	2.22	4.22
38	1tok	2.47	4.06
39	1dy4	4.36	6.07
40	1uz4	3.4	5.32
41	1gww	4.28	5.04
42	1x8d	2.21	4.26
43	1ui0	7.06	4.59
44	1lrh	6.82	4.94
45	1nw5	5.21	5.54
46	1v1j	4.82	4.68
47	2qrk	4.26	4.65
48	1h46	3.57	5.88
49	1gx0	4.28	5.04
50	4ubp	5.59	4.5
51	1bcj	3.7	3.9
52	1toj	3.39	4.37
53	1ia1	7.47	6.06
54	1sg0	7.47	5.22
55	1t9b	6.9	6.14
56	1of6	6.05	5.19
57	1t40	7.96	6.87
58	1mmv	7.24	4.91
59	1r55	6.8	5.17
60	1p2y	5.0	4.23
61	1sq5	4.39	4.84
62	1u1c	5.37	6.13
63	1r9o	5.02	5.48
64	1s19	9.51	7.34
65	1of1	4.82	6.3
66	1v4s	6.44	6.91
