	PDB	Labels	Predictions
0	4fjk	6.55	5.28
1	2v7u	5.9	5.45
2	2hzl	6.57	4.08
3	2q89	6.3	4.9
4	1ukb	3.19	4.08
5	3c2f	2.0	4.66
6	2gz2	5.22	4.7
7	2v7v	6.66	5.25
8	3bu1	8.15	3.84
9	2qdt	5.19	5.23
10	1toi	4.05	5.05
11	2hzy	7.39	6.42
12	2pwd	4.4	5.39
13	2nsl	4.68	5.09
14	2qrl	4.0	4.84
15	2j4k	4.85	4.21
16	2cjp	3.1	5.41
17	1iup	2.54	4.09
18	2qry	8.64	5.35
19	2ihk	4.16	5.06
20	2nsj	4.79	5.09
21	2e2p	4.74	4.81
22	2pwg	4.82	5.01
23	2b3f	6.03	4.53
24	3brn	8.7	5.05
25	3c2r	3.11	4.45
26	2jgb	5.61	5.9
27	1tog	3.22	5.14
28	2v7t	7.48	5.45
29	2vhw	5.09	5.18
30	2q88	5.8	4.91
31	2vmd	3.02	3.32
32	3c2o	3.35	4.57
33	2ihj	4.59	4.9
34	1e2k	4.94	5.44
35	1u1w	5.85	4.86
36	2bvd	6.0	5.92
37	2aac	2.22	4.11
38	1tok	2.47	4.55
39	1dy4	4.36	5.94
40	1uz4	3.4	5.21
41	1gww	4.28	4.52
42	1x8d	2.21	4.49
43	1ui0	7.06	4.59
44	1lrh	6.82	5.45
45	1nw5	5.21	5.14
46	1v1j	4.82	4.09
47	2qrk	4.26	4.43
48	1h46	3.57	5.73
49	1gx0	4.28	4.51
50	4ubp	5.59	5.29
51	1bcj	3.7	5.2
52	1toj	3.39	5.24
53	1ia1	7.47	6.39
54	1sg0	7.47	5.85
55	1t9b	6.9	5.34
56	1of6	6.05	4.87
57	1t40	7.96	6.9
58	1mmv	7.24	4.96
59	1r55	6.8	5.83
60	1p2y	5.0	5.52
61	1sq5	4.39	5.07
62	1u1c	5.37	5.66
63	1r9o	5.02	6.08
64	1s19	9.51	7.41
65	1of1	4.82	5.46
66	1v4s	6.44	5.49
