	PDB	Labels	Predictions
0	4fjk	6.55	6.09
1	2v7u	5.9	5.71
2	2hzl	6.57	3.68
3	2q89	6.3	4.1
4	1ukb	3.19	3.06
5	3c2f	2.0	5.78
6	2gz2	5.22	5.14
7	2v7v	6.66	5.1
8	3bu1	8.15	3.8
9	2qdt	5.19	4.43
10	1toi	4.05	4.02
11	2hzy	7.39	5.17
12	2pwd	4.4	5.14
13	2nsl	4.68	4.7
14	2qrl	4.0	4.67
15	2j4k	4.85	5.18
16	2cjp	3.1	4.03
17	1iup	2.54	3.01
18	2qry	8.64	5.42
19	2ihk	4.16	5.65
20	2nsj	4.79	4.7
21	2e2p	4.74	4.96
22	2pwg	4.82	4.97
23	2b3f	6.03	4.58
24	3brn	8.7	4.6
25	3c2r	3.11	4.66
26	2jgb	5.61	5.98
27	1tog	3.22	4.02
28	2v7t	7.48	5.92
29	2vhw	5.09	5.41
30	2q88	5.8	3.87
31	2vmd	3.02	4.38
32	3c2o	3.35	4.92
33	2ihj	4.59	5.65
34	1e2k	4.94	5.54
35	1u1w	5.85	4.8
36	2bvd	6.0	4.6
37	2aac	2.22	4.2
38	1tok	2.47	3.84
39	1dy4	4.36	5.43
40	1uz4	3.4	5.08
41	1gww	4.28	4.69
42	1x8d	2.21	4.04
43	1ui0	7.06	4.44
44	1lrh	6.82	3.78
45	1nw5	5.21	4.65
46	1v1j	4.82	4.92
47	2qrk	4.26	4.8
48	1h46	3.57	4.46
49	1gx0	4.28	4.69
50	4ubp	5.59	3.85
51	1bcj	3.7	4.08
52	1toj	3.39	4.02
53	1ia1	7.47	4.82
54	1sg0	7.47	4.7
55	1t9b	6.9	6.62
56	1of6	6.05	3.5
57	1t40	7.96	7.76
58	1mmv	7.24	5.19
59	1r55	6.8	6.76
60	1p2y	5.0	4.35
61	1sq5	4.39	5.31
62	1u1c	5.37	5.64
63	1r9o	5.02	6.9
64	1s19	9.51	7.98
65	1of1	4.82	5.23
66	1v4s	6.44	6.63
