	PDB	Labels	Predictions
0	4fjk	6.55	5.04
1	2v7u	5.9	6.59
2	2hzl	6.57	3.87
3	2q89	6.3	4.81
4	1ukb	3.19	4.46
5	3c2f	2.0	4.82
6	2gz2	5.22	5.55
7	2v7v	6.66	5.7
8	3bu1	8.15	3.88
9	2qdt	5.19	5.82
10	1toi	4.05	3.98
11	2hzy	7.39	6.34
12	2pwd	4.4	4.6
13	2nsl	4.68	7.88
14	2qrl	4.0	4.45
15	2j4k	4.85	5.01
16	2cjp	3.1	4.22
17	1iup	2.54	4.68
18	2qry	8.64	4.38
19	2ihk	4.16	5.86
20	2nsj	4.79	7.88
21	2e2p	4.74	6.11
22	2pwg	4.82	3.82
23	2b3f	6.03	3.67
24	3brn	8.7	5.41
25	3c2r	3.11	4.32
26	2jgb	5.61	6.14
27	1tog	3.22	3.98
28	2v7t	7.48	6.41
29	2vhw	5.09	5.36
30	2q88	5.8	3.77
31	2vmd	3.02	3.44
32	3c2o	3.35	4.32
33	2ihj	4.59	5.86
34	1e2k	4.94	4.74
35	1u1w	5.85	4.43
36	2bvd	6.0	5.79
37	2aac	2.22	3.91
38	1tok	2.47	4.09
39	1dy4	4.36	3.71
40	1uz4	3.4	7.01
41	1gww	4.28	3.83
42	1x8d	2.21	3.88
43	1ui0	7.06	2.61
44	1lrh	6.82	2.75
45	1nw5	5.21	6.2
46	1v1j	4.82	4.87
47	2qrk	4.26	5.42
48	1h46	3.57	5.56
49	1gx0	4.28	3.83
50	4ubp	5.59	3.67
51	1bcj	3.7	4.5
52	1toj	3.39	3.98
53	1ia1	7.47	5.51
54	1sg0	7.47	4.12
55	1t9b	6.9	6.65
56	1of6	6.05	3.92
57	1t40	7.96	6.48
58	1mmv	7.24	6.23
59	1r55	6.8	5.75
60	1p2y	5.0	5.05
61	1sq5	4.39	4.66
62	1u1c	5.37	6.05
63	1r9o	5.02	5.89
64	1s19	9.51	7.58
65	1of1	4.82	6.71
66	1v4s	6.44	7.9
