	PDB	Labels	Predictions
0	4fjk	6.55	4.7
1	2v7u	5.9	5.17
2	2hzl	6.57	3.26
3	2q89	6.3	4.82
4	1ukb	3.19	3.24
5	3c2f	2.0	5.18
6	2gz2	5.22	4.62
7	2v7v	6.66	4.7
8	3bu1	8.15	3.52
9	2qdt	5.19	5.86
10	1toi	4.05	3.88
11	2hzy	7.39	5.88
12	2pwd	4.4	5.16
13	2nsl	4.68	3.37
14	2qrl	4.0	4.19
15	2j4k	4.85	3.23
16	2cjp	3.1	3.92
17	1iup	2.54	4.13
18	2qry	8.64	4.64
19	2ihk	4.16	3.71
20	2nsj	4.79	3.37
21	2e2p	4.74	4.84
22	2pwg	4.82	4.58
23	2b3f	6.03	4.36
24	3brn	8.7	5.62
25	3c2r	3.11	3.19
26	2jgb	5.61	5.87
27	1tog	3.22	3.88
28	2v7t	7.48	5.64
29	2vhw	5.09	4.36
30	2q88	5.8	4.54
31	2vmd	3.02	3.89
32	3c2o	3.35	4.02
33	2ihj	4.59	3.71
34	1e2k	4.94	4.99
35	1u1w	5.85	5.29
36	2bvd	6.0	5.25
37	2aac	2.22	3.68
38	1tok	2.47	2.84
39	1dy4	4.36	4.46
40	1uz4	3.4	6.97
41	1gww	4.28	5.4
42	1x8d	2.21	4.15
43	1ui0	7.06	4.45
44	1lrh	6.82	3.84
45	1nw5	5.21	4.83
46	1v1j	4.82	4.61
47	2qrk	4.26	3.93
48	1h46	3.57	5.33
49	1gx0	4.28	5.4
50	4ubp	5.59	4.17
51	1bcj	3.7	5.69
52	1toj	3.39	3.88
53	1ia1	7.47	5.57
54	1sg0	7.47	4.81
55	1t9b	6.9	7.06
56	1of6	6.05	4.81
57	1t40	7.96	6.05
58	1mmv	7.24	4.55
59	1r55	6.8	5.97
60	1p2y	5.0	5.84
61	1sq5	4.39	5.1
62	1u1c	5.37	5.37
63	1r9o	5.02	5.44
64	1s19	9.51	7.56
65	1of1	4.82	6.79
66	1v4s	6.44	7.73
