	PDB	Labels	Predictions
0	4fjk	6.55	5.06
1	2v7u	5.9	5.59
2	2hzl	6.57	3.7
3	2q89	6.3	4.84
4	1ukb	3.19	3.84
5	3c2f	2.0	5.53
6	2gz2	5.22	5.39
7	2v7v	6.66	4.85
8	3bu1	8.15	3.98
9	2qdt	5.19	4.86
10	1toi	4.05	4.19
11	2hzy	7.39	4.79
12	2pwd	4.4	4.8
13	2nsl	4.68	5.44
14	2qrl	4.0	4.62
15	2j4k	4.85	5.36
16	2cjp	3.1	4.52
17	1iup	2.54	3.67
18	2qry	8.64	5.03
19	2ihk	4.16	6.32
20	2nsj	4.79	5.44
21	2e2p	4.74	5.35
22	2pwg	4.82	5.72
23	2b3f	6.03	4.26
24	3brn	8.7	4.46
25	3c2r	3.11	4.58
26	2jgb	5.61	5.83
27	1tog	3.22	4.19
28	2v7t	7.48	5.76
29	2vhw	5.09	5.03
30	2q88	5.8	4.45
31	2vmd	3.02	4.36
32	3c2o	3.35	5.13
33	2ihj	4.59	6.32
34	1e2k	4.94	6.09
35	1u1w	5.85	4.5
36	2bvd	6.0	5.81
37	2aac	2.22	4.29
38	1tok	2.47	3.78
39	1dy4	4.36	5.55
40	1uz4	3.4	5.0
41	1gww	4.28	4.55
42	1x8d	2.21	4.06
43	1ui0	7.06	4.21
44	1lrh	6.82	4.21
45	1nw5	5.21	5.51
46	1v1j	4.82	4.68
47	2qrk	4.26	5.11
48	1h46	3.57	5.07
49	1gx0	4.28	4.55
50	4ubp	5.59	4.21
51	1bcj	3.7	4.79
52	1toj	3.39	4.19
53	1ia1	7.47	5.81
54	1sg0	7.47	5.07
55	1t9b	6.9	6.74
56	1of6	6.05	4.12
57	1t40	7.96	6.75
58	1mmv	7.24	5.09
59	1r55	6.8	6.27
60	1p2y	5.0	5.43
61	1sq5	4.39	4.52
62	1u1c	5.37	5.6
63	1r9o	5.02	5.67
64	1s19	9.51	7.6
65	1of1	4.82	6.06
66	1v4s	6.44	6.88
