	PDB	Labels	Predictions
0	4fjk	6.55	5.17
1	2v7u	5.9	4.64
2	2hzl	6.57	5.19
3	2q89	6.3	6.36
4	1ukb	3.19	4.71
5	3c2f	2.0	4.19
6	2gz2	5.22	4.8
7	2v7v	6.66	4.36
8	3bu1	8.15	4.95
9	2qdt	5.19	5.43
10	1toi	4.05	2.61
11	2hzy	7.39	4.47
12	2pwd	4.4	4.99
13	2nsl	4.68	5.49
14	2qrl	4.0	3.45
15	2j4k	4.85	4.23
16	2cjp	3.1	4.17
17	1iup	2.54	4.46
18	2qry	8.64	4.98
19	2ihk	4.16	4.67
20	2nsj	4.79	5.49
21	2e2p	4.74	3.63
22	2pwg	4.82	4.92
23	2b3f	6.03	5.37
24	3brn	8.7	6.95
25	3c2r	3.11	4.09
26	2jgb	5.61	6.0
27	1tog	3.22	2.61
28	2v7t	7.48	5.56
29	2vhw	5.09	4.41
30	2q88	5.8	4.1
31	2vmd	3.02	3.06
32	3c2o	3.35	3.85
33	2ihj	4.59	4.67
34	1e2k	4.94	5.59
35	1u1w	5.85	5.16
36	2bvd	6.0	5.91
37	2aac	2.22	2.55
38	1tok	2.47	2.94
39	1dy4	4.36	3.66
40	1uz4	3.4	5.39
41	1gww	4.28	4.84
42	1x8d	2.21	3.96
43	1ui0	7.06	3.57
44	1lrh	6.82	5.61
45	1nw5	5.21	5.09
46	1v1j	4.82	4.39
47	2qrk	4.26	3.93
48	1h46	3.57	3.79
49	1gx0	4.28	4.84
50	4ubp	5.59	3.03
51	1bcj	3.7	4.03
52	1toj	3.39	2.61
53	1ia1	7.47	5.38
54	1sg0	7.47	5.1
55	1t9b	6.9	5.44
56	1of6	6.05	4.87
57	1t40	7.96	5.93
58	1mmv	7.24	4.39
59	1r55	6.8	7.14
60	1p2y	5.0	4.72
61	1sq5	4.39	4.82
62	1u1c	5.37	5.56
63	1r9o	5.02	5.92
64	1s19	9.51	7.68
65	1of1	4.82	6.19
66	1v4s	6.44	7.02
