	PDB	Labels	Predictions
0	4fjk	6.55	7.0
1	2v7u	5.9	7.05
2	2hzl	6.57	3.58
3	2q89	6.3	4.37
4	1ukb	3.19	3.73
5	3c2f	2.0	6.31
6	2gz2	5.22	5.58
7	2v7v	6.66	6.27
8	3bu1	8.15	4.04
9	2qdt	5.19	3.67
10	1toi	4.05	4.75
11	2hzy	7.39	6.09
12	2pwd	4.4	3.89
13	2nsl	4.68	4.24
14	2qrl	4.0	4.89
15	2j4k	4.85	5.64
16	2cjp	3.1	4.18
17	1iup	2.54	3.01
18	2qry	8.64	5.67
19	2ihk	4.16	5.6
20	2nsj	4.79	4.22
21	2e2p	4.74	4.87
22	2pwg	4.82	3.99
23	2b3f	6.03	3.92
24	3brn	8.7	4.97
25	3c2r	3.11	4.78
26	2jgb	5.61	7.19
27	1tog	3.22	4.45
28	2v7t	7.48	6.51
29	2vhw	5.09	6.12
30	2q88	5.8	4.15
31	2vmd	3.02	3.67
32	3c2o	3.35	4.83
33	2ihj	4.59	4.93
34	1e2k	4.94	5.91
35	1u1w	5.85	4.05
36	2bvd	6.0	4.81
37	2aac	2.22	3.78
38	1tok	2.47	3.66
39	1dy4	4.36	6.5
40	1uz4	3.4	5.33
41	1gww	4.28	5.53
42	1x8d	2.21	4.96
43	1ui0	7.06	4.9
44	1lrh	6.82	3.23
45	1nw5	5.21	4.84
46	1v1j	4.82	5.11
47	2qrk	4.26	5.79
48	1h46	3.57	5.01
49	1gx0	4.28	5.39
50	4ubp	5.59	4.69
51	1bcj	3.7	2.93
52	1toj	3.39	4.86
53	1ia1	7.47	7.23
54	1sg0	7.47	3.71
55	1t9b	6.9	5.93
56	1of6	6.05	5.87
57	1t40	7.96	6.87
58	1mmv	7.24	4.54
59	1r55	6.8	5.52
60	1p2y	5.0	3.37
61	1sq5	4.39	4.71
62	1u1c	5.37	5.66
63	1r9o	5.02	4.23
64	1s19	9.51	8.38
65	1of1	4.82	6.47
66	1v4s	6.44	5.41
