	PDB	Labels	Predictions
0	4fjk	6.55	4.59
1	2v7u	5.9	5.47
2	2hzl	6.57	3.74
3	2q89	6.3	5.52
4	1ukb	3.19	3.49
5	3c2f	2.0	6.84
6	2gz2	5.22	5.27
7	2v7v	6.66	5.75
8	3bu1	8.15	5.82
9	2qdt	5.19	5.24
10	1toi	4.05	4.88
11	2hzy	7.39	5.34
12	2pwd	4.4	4.81
13	2nsl	4.68	3.48
14	2qrl	4.0	3.65
15	2j4k	4.85	4.78
16	2cjp	3.1	3.66
17	1iup	2.54	5.14
18	2qry	8.64	4.53
19	2ihk	4.16	4.68
20	2nsj	4.79	3.48
21	2e2p	4.74	4.72
22	2pwg	4.82	5.01
23	2b3f	6.03	3.9
24	3brn	8.7	6.78
25	3c2r	3.11	4.11
26	2jgb	5.61	8.22
27	1tog	3.22	4.88
28	2v7t	7.48	6.25
29	2vhw	5.09	3.61
30	2q88	5.8	5.66
31	2vmd	3.02	4.16
32	3c2o	3.35	4.6
33	2ihj	4.59	4.68
34	1e2k	4.94	5.18
35	1u1w	5.85	4.31
36	2bvd	6.0	4.55
37	2aac	2.22	3.9
38	1tok	2.47	3.97
39	1dy4	4.36	5.86
40	1uz4	3.4	5.17
41	1gww	4.28	4.59
42	1x8d	2.21	3.51
43	1ui0	7.06	4.95
44	1lrh	6.82	4.17
45	1nw5	5.21	5.46
46	1v1j	4.82	4.73
47	2qrk	4.26	4.67
48	1h46	3.57	6.15
49	1gx0	4.28	4.59
50	4ubp	5.59	5.61
51	1bcj	3.7	2.75
52	1toj	3.39	4.88
53	1ia1	7.47	5.84
54	1sg0	7.47	5.51
55	1t9b	6.9	7.21
56	1of6	6.05	4.13
57	1t40	7.96	7.57
58	1mmv	7.24	3.9
59	1r55	6.8	7.2
60	1p2y	5.0	5.85
61	1sq5	4.39	7.21
62	1u1c	5.37	5.75
63	1r9o	5.02	4.6
64	1s19	9.51	7.89
65	1of1	4.82	5.35
66	1v4s	6.44	5.56
