	PDB	Labels	Predictions
0	4fjk	6.55	4.54
1	2v7u	5.9	3.48
2	2hzl	6.57	3.36
3	2q89	6.3	4.73
4	1ukb	3.19	3.72
5	3c2f	2.0	7.62
6	2gz2	5.22	4.84
7	2v7v	6.66	3.99
8	3bu1	8.15	6.14
9	2qdt	5.19	5.47
10	1toi	4.05	3.66
11	2hzy	7.39	9.43
12	2pwd	4.4	6.42
13	2nsl	4.68	4.85
14	2qrl	4.0	3.72
15	2j4k	4.85	5.35
16	2cjp	3.1	4.57
17	1iup	2.54	4.58
18	2qry	8.64	6.53
19	2ihk	4.16	4.95
20	2nsj	4.79	4.92
21	2e2p	4.74	5.69
22	2pwg	4.82	6.6
23	2b3f	6.03	4.09
24	3brn	8.7	3.7
25	3c2r	3.11	5.23
26	2jgb	5.61	6.22
27	1tog	3.22	3.67
28	2v7t	7.48	5.46
29	2vhw	5.09	5.14
30	2q88	5.8	4.06
31	2vmd	3.02	4.26
32	3c2o	3.35	5.81
33	2ihj	4.59	4.92
34	1e2k	4.94	7.86
35	1u1w	5.85	5.59
36	2bvd	6.0	3.42
37	2aac	2.22	3.2
38	1tok	2.47	3.33
39	1dy4	4.36	6.4
40	1uz4	3.4	5.53
41	1gww	4.28	3.66
42	1x8d	2.21	4.37
43	1ui0	7.06	3.69
44	1lrh	6.82	4.46
45	1nw5	5.21	5.01
46	1v1j	4.82	5.02
47	2qrk	4.26	3.73
48	1h46	3.57	6.22
49	1gx0	4.28	3.75
50	4ubp	5.59	4.14
51	1bcj	3.7	6.47
52	1toj	3.39	3.76
53	1ia1	7.47	5.22
54	1sg0	7.47	5.1
55	1t9b	6.9	6.4
56	1of6	6.05	4.58
57	1t40	7.96	8.55
58	1mmv	7.24	5.7
59	1r55	6.8	6.14
60	1p2y	5.0	5.42
61	1sq5	4.39	4.82
62	1u1c	5.37	5.87
63	1r9o	5.02	7.07
64	1s19	9.51	8.73
65	1of1	4.82	6.41
66	1v4s	6.44	7.46
