	PDB	Labels	Predictions
0	4fjk	6.55	3.81
1	2v7u	5.9	3.2
2	2hzl	6.57	2.44
3	2q89	6.3	3.36
4	1ukb	3.19	2.25
5	3c2f	2.0	3.51
6	2gz2	5.22	4.08
7	2v7v	6.66	3.17
8	3bu1	8.15	3.15
9	2qdt	5.19	3.82
10	1toi	4.05	2.85
11	2hzy	7.39	3.12
12	2pwd	4.4	3.22
13	2nsl	4.68	4.1
14	2qrl	4.0	2.94
15	2j4k	4.85	3.32
16	2cjp	3.1	3.2
17	1iup	2.54	2.51
18	2qry	8.64	4.49
19	2ihk	4.16	3.8
20	2nsj	4.79	4.1
21	2e2p	4.74	3.79
22	2pwg	4.82	3.31
23	2b3f	6.03	3.6
24	3brn	8.7	3.92
25	3c2r	3.11	3.02
26	2jgb	5.61	5.11
27	1tog	3.22	2.85
28	2v7t	7.48	3.41
29	2vhw	5.09	3.17
30	2q88	5.8	2.6
31	2vmd	3.02	2.81
32	3c2o	3.35	2.97
33	2ihj	4.59	3.8
34	1e2k	4.94	3.54
35	1u1w	5.85	3.1
36	2bvd	6.0	4.39
37	2aac	2.22	3.37
38	1tok	2.47	3.09
39	1dy4	4.36	3.24
40	1uz4	3.4	3.63
41	1gww	4.28	3.77
42	1x8d	2.21	2.85
43	1ui0	7.06	2.76
44	1lrh	6.82	3.65
45	1nw5	5.21	3.24
46	1v1j	4.82	2.62
47	2qrk	4.26	3.57
48	1h46	3.57	4.01
49	1gx0	4.28	3.77
50	4ubp	5.59	2.67
51	1bcj	3.7	3.33
52	1toj	3.39	2.85
53	1ia1	7.47	4.2
54	1sg0	7.47	3.28
55	1t9b	6.9	5.51
56	1of6	6.05	4.2
57	1t40	7.96	5.65
58	1mmv	7.24	2.85
59	1r55	6.8	4.87
60	1p2y	5.0	3.43
61	1sq5	4.39	3.23
62	1u1c	5.37	3.52
63	1r9o	5.02	4.52
64	1s19	9.51	5.92
65	1of1	4.82	3.67
66	1v4s	6.44	5.67
