	PDB	Labels	Predictions
0	4fjk	6.55	5.85
1	2v7u	5.9	5.17
2	2hzl	6.57	3.53
3	2q89	6.3	4.66
4	1ukb	3.19	4.13
5	3c2f	2.0	6.66
6	2gz2	5.22	5.17
7	2v7v	6.66	3.78
8	3bu1	8.15	3.81
9	2qdt	5.19	4.77
10	1toi	4.05	3.81
11	2hzy	7.39	5.9
12	2pwd	4.4	5.52
13	2nsl	4.68	4.0
14	2qrl	4.0	4.48
15	2j4k	4.85	5.08
16	2cjp	3.1	4.15
17	1iup	2.54	4.63
18	2qry	8.64	7.17
19	2ihk	4.16	5.88
20	2nsj	4.79	4.0
21	2e2p	4.74	5.47
22	2pwg	4.82	5.88
23	2b3f	6.03	3.22
24	3brn	8.7	5.0
25	3c2r	3.11	5.67
26	2jgb	5.61	5.88
27	1tog	3.22	3.81
28	2v7t	7.48	5.71
29	2vhw	5.09	4.75
30	2q88	5.8	3.97
31	2vmd	3.02	3.76
32	3c2o	3.35	4.87
33	2ihj	4.59	5.88
34	1e2k	4.94	5.52
35	1u1w	5.85	5.13
36	2bvd	6.0	6.57
37	2aac	2.22	3.97
38	1tok	2.47	2.71
39	1dy4	4.36	4.89
40	1uz4	3.4	4.77
41	1gww	4.28	4.57
42	1x8d	2.21	3.44
43	1ui0	7.06	4.95
44	1lrh	6.82	4.0
45	1nw5	5.21	5.92
46	1v1j	4.82	3.81
47	2qrk	4.26	5.05
48	1h46	3.57	5.6
49	1gx0	4.28	4.57
50	4ubp	5.59	4.58
51	1bcj	3.7	3.74
52	1toj	3.39	3.81
53	1ia1	7.47	5.44
54	1sg0	7.47	4.75
55	1t9b	6.9	6.9
56	1of6	6.05	4.74
57	1t40	7.96	6.62
58	1mmv	7.24	6.23
59	1r55	6.8	6.86
60	1p2y	5.0	5.25
61	1sq5	4.39	5.27
62	1u1c	5.37	4.81
63	1r9o	5.02	6.79
64	1s19	9.51	8.02
65	1of1	4.82	5.57
66	1v4s	6.44	7.81
