	PDB	Labels	Predictions
0	4fjk	6.55	4.65
1	2v7u	5.9	5.36
2	2hzl	6.57	4.07
3	2q89	6.3	4.36
4	1ukb	3.19	3.67
5	3c2f	2.0	5.21
6	2gz2	5.22	4.48
7	2v7v	6.66	5.04
8	3bu1	8.15	4.71
9	2qdt	5.19	4.19
10	1toi	4.05	3.79
11	2hzy	7.39	4.87
12	2pwd	4.4	5.03
13	2nsl	4.68	5.29
14	2qrl	4.0	4.39
15	2j4k	4.85	4.52
16	2cjp	3.1	4.84
17	1iup	2.54	3.16
18	2qry	8.64	5.7
19	2ihk	4.16	5.5
20	2nsj	4.79	5.55
21	2e2p	4.74	5.72
22	2pwg	4.82	5.25
23	2b3f	6.03	4.64
24	3brn	8.7	4.62
25	3c2r	3.11	4.95
26	2jgb	5.61	5.58
27	1tog	3.22	3.89
28	2v7t	7.48	5.59
29	2vhw	5.09	5.59
30	2q88	5.8	4.14
31	2vmd	3.02	3.21
32	3c2o	3.35	4.8
33	2ihj	4.59	5.62
34	1e2k	4.94	5.32
35	1u1w	5.85	4.51
36	2bvd	6.0	5.18
37	2aac	2.22	4.56
38	1tok	2.47	3.78
39	1dy4	4.36	6.54
40	1uz4	3.4	4.76
41	1gww	4.28	5.25
42	1x8d	2.21	4.75
43	1ui0	7.06	4.44
44	1lrh	6.82	4.62
45	1nw5	5.21	5.42
46	1v1j	4.82	5.21
47	2qrk	4.26	4.51
48	1h46	3.57	5.84
49	1gx0	4.28	5.21
50	4ubp	5.59	3.93
51	1bcj	3.7	4.74
52	1toj	3.39	3.56
53	1ia1	7.47	5.39
54	1sg0	7.47	5.42
55	1t9b	6.9	6.84
56	1of6	6.05	5.88
57	1t40	7.96	7.1
58	1mmv	7.24	4.59
59	1r55	6.8	6.44
60	1p2y	5.0	5.02
61	1sq5	4.39	5.32
62	1u1c	5.37	5.93
63	1r9o	5.02	5.38
64	1s19	9.51	6.99
65	1of1	4.82	5.29
66	1v4s	6.44	5.79
