	PDB	Labels	Predictions
0	4fjk	6.55	5.16
1	2v7u	5.9	5.03
2	2hzl	6.57	3.65
3	2q89	6.3	6.51
4	1ukb	3.19	3.98
5	3c2f	2.0	4.67
6	2gz2	5.22	5.34
7	2v7v	6.66	5.19
8	3bu1	8.15	3.42
9	2qdt	5.19	4.58
10	1toi	4.05	6.12
11	2hzy	7.39	6.24
12	2pwd	4.4	6.4
13	2nsl	4.68	5.22
14	2qrl	4.0	5.15
15	2j4k	4.85	4.29
16	2cjp	3.1	4.79
17	1iup	2.54	3.62
18	2qry	8.64	6.53
19	2ihk	4.16	5.81
20	2nsj	4.79	5.22
21	2e2p	4.74	5.4
22	2pwg	4.82	7.11
23	2b3f	6.03	4.45
24	3brn	8.7	4.2
25	3c2r	3.11	3.59
26	2jgb	5.61	6.78
27	1tog	3.22	6.12
28	2v7t	7.48	6.22
29	2vhw	5.09	7.16
30	2q88	5.8	6.35
31	2vmd	3.02	5.6
32	3c2o	3.35	3.54
33	2ihj	4.59	5.81
34	1e2k	4.94	5.04
35	1u1w	5.85	4.61
36	2bvd	6.0	6.25
37	2aac	2.22	5.67
38	1tok	2.47	5.66
39	1dy4	4.36	6.71
40	1uz4	3.4	5.4
41	1gww	4.28	4.42
42	1x8d	2.21	4.85
43	1ui0	7.06	4.09
44	1lrh	6.82	5.09
45	1nw5	5.21	6.38
46	1v1j	4.82	5.08
47	2qrk	4.26	5.69
48	1h46	3.57	5.06
49	1gx0	4.28	4.42
50	4ubp	5.59	5.87
51	1bcj	3.7	5.22
52	1toj	3.39	6.12
53	1ia1	7.47	5.4
54	1sg0	7.47	4.72
55	1t9b	6.9	7.13
56	1of6	6.05	4.45
57	1t40	7.96	6.11
58	1mmv	7.24	4.83
59	1r55	6.8	6.44
60	1p2y	5.0	3.31
61	1sq5	4.39	5.64
62	1u1c	5.37	5.68
63	1r9o	5.02	5.49
64	1s19	9.51	7.26
65	1of1	4.82	4.98
66	1v4s	6.44	6.74
