	PDB	Labels	Predictions
0	4fjk	6.55	4.44
1	2v7u	5.9	5.6
2	2hzl	6.57	6.01
3	2q89	6.3	6.68
4	1ukb	3.19	4.31
5	3c2f	2.0	6.81
6	2gz2	5.22	4.73
7	2v7v	6.66	4.93
8	3bu1	8.15	3.96
9	2qdt	5.19	5.44
10	1toi	4.05	4.99
11	2hzy	7.39	5.83
12	2pwd	4.4	4.93
13	2nsl	4.68	6.74
14	2qrl	4.0	3.76
15	2j4k	4.85	5.65
16	2cjp	3.1	5.07
17	1iup	2.54	4.46
18	2qry	8.64	5.8
19	2ihk	4.16	5.75
20	2nsj	4.79	6.74
21	2e2p	4.74	5.33
22	2pwg	4.82	4.67
23	2b3f	6.03	6.16
24	3brn	8.7	3.62
25	3c2r	3.11	5.75
26	2jgb	5.61	5.48
27	1tog	3.22	4.77
28	2v7t	7.48	4.99
29	2vhw	5.09	5.69
30	2q88	5.8	6.58
31	2vmd	3.02	4.25
32	3c2o	3.35	6.26
33	2ihj	4.59	5.75
34	1e2k	4.94	5.87
35	1u1w	5.85	4.64
36	2bvd	6.0	6.03
37	2aac	2.22	4.33
38	1tok	2.47	3.64
39	1dy4	4.36	5.92
40	1uz4	3.4	4.1
41	1gww	4.28	4.78
42	1x8d	2.21	4.76
43	1ui0	7.06	4.51
44	1lrh	6.82	6.29
45	1nw5	5.21	5.51
46	1v1j	4.82	4.91
47	2qrk	4.26	4.18
48	1h46	3.57	5.93
49	1gx0	4.28	4.78
50	4ubp	5.59	4.65
51	1bcj	3.7	3.2
52	1toj	3.39	4.77
53	1ia1	7.47	5.07
54	1sg0	7.47	4.91
55	1t9b	6.9	6.03
56	1of6	6.05	4.97
57	1t40	7.96	7.16
58	1mmv	7.24	3.74
59	1r55	6.8	7.66
60	1p2y	5.0	5.63
61	1sq5	4.39	5.61
62	1u1c	5.37	4.27
63	1r9o	5.02	5.15
64	1s19	9.51	7.1
65	1of1	4.82	6.11
66	1v4s	6.44	6.19
