	PDB	Labels	Predictions
0	4fjk	6.55	5.32
1	2v7u	5.9	6.2
2	2hzl	6.57	4.68
3	2q89	6.3	4.59
4	1ukb	3.19	5.11
5	3c2f	2.0	5.17
6	2gz2	5.22	4.41
7	2v7v	6.66	6.3
8	3bu1	8.15	2.78
9	2qdt	5.19	3.94
10	1toi	4.05	6.5
11	2hzy	7.39	4.53
12	2pwd	4.4	7.35
13	2nsl	4.68	5.35
14	2qrl	4.0	6.35
15	2j4k	4.85	3.71
16	2cjp	3.1	5.28
17	1iup	2.54	4.25
18	2qry	8.64	8.26
19	2ihk	4.16	5.95
20	2nsj	4.79	5.35
21	2e2p	4.74	5.49
22	2pwg	4.82	6.94
23	2b3f	6.03	5.19
24	3brn	8.7	3.9
25	3c2r	3.11	3.29
26	2jgb	5.61	6.67
27	1tog	3.22	6.5
28	2v7t	7.48	6.52
29	2vhw	5.09	6.79
30	2q88	5.8	4.14
31	2vmd	3.02	5.22
32	3c2o	3.35	3.19
33	2ihj	4.59	5.95
34	1e2k	4.94	4.67
35	1u1w	5.85	2.61
36	2bvd	6.0	5.16
37	2aac	2.22	5.92
38	1tok	2.47	6.24
39	1dy4	4.36	6.06
40	1uz4	3.4	6.61
41	1gww	4.28	4.22
42	1x8d	2.21	4.97
43	1ui0	7.06	2.83
44	1lrh	6.82	4.13
45	1nw5	5.21	5.82
46	1v1j	4.82	4.6
47	2qrk	4.26	6.46
48	1h46	3.57	5.17
49	1gx0	4.28	4.22
50	4ubp	5.59	3.57
51	1bcj	3.7	4.76
52	1toj	3.39	6.5
53	1ia1	7.47	4.68
54	1sg0	7.47	6.71
55	1t9b	6.9	5.45
56	1of6	6.05	3.22
57	1t40	7.96	6.65
58	1mmv	7.24	5.08
59	1r55	6.8	5.71
60	1p2y	5.0	6.04
61	1sq5	4.39	6.03
62	1u1c	5.37	4.67
63	1r9o	5.02	6.08
64	1s19	9.51	7.75
65	1of1	4.82	4.8
66	1v4s	6.44	5.58
