	PDB	Labels	Predictions
0	4fjk	6.55	5.91
1	2v7u	5.9	3.42
2	2hzl	6.57	3.5
3	2q89	6.3	4.87
4	1ukb	3.19	3.12
5	3c2f	2.0	2.87
6	2gz2	5.22	3.33
7	2v7v	6.66	3.6
8	3bu1	8.15	3.9
9	2qdt	5.19	4.75
10	1toi	4.05	4.7
11	2hzy	7.39	4.82
12	2pwd	4.4	4.94
13	2nsl	4.68	4.02
14	2qrl	4.0	3.84
15	2j4k	4.85	2.88
16	2cjp	3.1	4.14
17	1iup	2.54	3.57
18	2qry	8.64	4.06
19	2ihk	4.16	3.35
20	2nsj	4.79	4.02
21	2e2p	4.74	3.09
22	2pwg	4.82	5.38
23	2b3f	6.03	3.01
24	3brn	8.7	5.07
25	3c2r	3.11	3.87
26	2jgb	5.61	5.13
27	1tog	3.22	4.7
28	2v7t	7.48	4.16
29	2vhw	5.09	3.4
30	2q88	5.8	4.5
31	2vmd	3.02	2.87
32	3c2o	3.35	3.87
33	2ihj	4.59	3.35
34	1e2k	4.94	4.73
35	1u1w	5.85	4.35
36	2bvd	6.0	5.32
37	2aac	2.22	3.58
38	1tok	2.47	4.1
39	1dy4	4.36	6.57
40	1uz4	3.4	5.03
41	1gww	4.28	2.51
42	1x8d	2.21	3.93
43	1ui0	7.06	2.56
44	1lrh	6.82	3.47
45	1nw5	5.21	4.0
46	1v1j	4.82	4.79
47	2qrk	4.26	2.49
48	1h46	3.57	5.88
49	1gx0	4.28	2.51
50	4ubp	5.59	4.2
51	1bcj	3.7	2.86
52	1toj	3.39	4.7
53	1ia1	7.47	4.12
54	1sg0	7.47	5.41
55	1t9b	6.9	6.1
56	1of6	6.05	4.59
57	1t40	7.96	8.75
58	1mmv	7.24	3.61
59	1r55	6.8	5.7
60	1p2y	5.0	6.13
61	1sq5	4.39	4.38
62	1u1c	5.37	5.32
63	1r9o	5.02	5.88
64	1s19	9.51	6.89
65	1of1	4.82	4.03
66	1v4s	6.44	6.2
