	PDB	Labels	Predictions
0	2v7u	5.9	5.71
1	2hzl	6.57	5.8
2	2q89	6.3	2.83
3	1ukb	3.19	3.59
4	3c2f	2.0	5.36
5	2gz2	5.22	5.15
6	2v7v	6.66	5.73
7	3bu1	8.15	4.4
8	2qdt	5.19	5.83
9	1toi	4.05	4.14
10	2hzy	7.39	5.36
11	2pwd	4.4	4.97
12	2nsl	4.68	4.28
13	2qrl	4.0	3.21
14	2j4k	4.85	4.4
15	2cjp	3.1	4.41
16	1iup	2.54	3.36
17	2qry	8.64	7.3
18	2ihk	4.16	4.81
19	2nsj	4.79	4.36
20	2e2p	4.74	5.97
21	2pwg	4.82	4.46
22	2b3f	6.03	4.81
23	3brn	8.7	5.64
24	3c2r	3.11	5.13
25	2jgb	5.61	5.42
26	1tog	3.22	3.99
27	2v7t	7.48	5.92
28	2vhw	5.09	4.63
29	2q88	5.8	3.23
30	2vmd	3.02	4.0
31	3c2o	3.35	5.7
32	2ihj	4.59	4.71
33	1e2k	4.94	5.94
34	1u1w	5.85	4.96
35	2bvd	6.0	6.29
36	2aac	2.22	5.54
37	1tok	2.47	2.88
38	1dy4	4.36	4.94
39	1uz4	3.4	3.3
40	1gww	4.28	5.48
41	1x8d	2.21	5.45
42	1ui0	7.06	4.78
43	1lrh	6.82	5.73
44	1nw5	5.21	5.21
45	1v1j	4.82	3.87
46	2qrk	4.26	4.05
47	1h46	3.57	4.83
48	1gx0	4.28	5.31
49	4ubp	5.59	5.69
50	1bcj	3.7	6.02
51	1toj	3.39	4.09
52	1ia1	7.47	7.13
53	1sg0	7.47	4.7
54	1t9b	6.9	4.89
55	1of6	6.05	6.27
56	1t40	7.96	6.48
57	1mmv	7.24	3.49
58	1r55	6.8	4.56
59	1p2y	5.0	6.68
60	1sq5	4.39	2.82
61	1u1c	5.37	5.6
62	1r9o	5.02	4.9
63	1s19	9.51	7.53
64	1of1	4.82	6.59
65	1v4s	6.44	6.51
