	PDB	Labels	Predictions
0	4fjk	6.55	5.15
1	2v7u	5.9	4.31
2	2hzl	6.57	3.18
3	2q89	6.3	4.73
4	1ukb	3.19	4.1
5	3c2f	2.0	5.86
6	2gz2	5.22	6.18
7	2v7v	6.66	3.9
8	3bu1	8.15	4.35
9	2qdt	5.19	7.08
10	1toi	4.05	4.45
11	2hzy	7.39	6.59
12	2pwd	4.4	4.59
13	2nsl	4.68	3.04
14	2qrl	4.0	4.97
15	2j4k	4.85	4.23
16	2cjp	3.1	5.28
17	1iup	2.54	3.99
18	2qry	8.64	6.93
19	2ihk	4.16	4.2
20	2nsj	4.79	3.04
21	2e2p	4.74	4.95
22	2pwg	4.82	4.47
23	2b3f	6.03	5.12
24	3brn	8.7	4.03
25	3c2r	3.11	5.3
26	2jgb	5.61	5.85
27	1tog	3.22	4.45
28	2v7t	7.48	5.18
29	2vhw	5.09	4.89
30	2q88	5.8	2.79
31	2vmd	3.02	5.14
32	3c2o	3.35	5.27
33	2ihj	4.59	4.2
34	1e2k	4.94	6.22
35	1u1w	5.85	4.76
36	2bvd	6.0	5.52
37	2aac	2.22	5.01
38	1tok	2.47	4.61
39	1dy4	4.36	6.72
40	1uz4	3.4	4.8
41	1gww	4.28	4.55
42	1x8d	2.21	3.52
43	1ui0	7.06	4.56
44	1lrh	6.82	5.5
45	1nw5	5.21	4.76
46	1v1j	4.82	3.31
47	2qrk	4.26	4.37
48	1h46	3.57	6.51
49	1gx0	4.28	4.55
50	4ubp	5.59	3.12
51	1bcj	3.7	4.09
52	1toj	3.39	4.45
53	1ia1	7.47	7.47
54	1sg0	7.47	6.08
55	1t9b	6.9	5.21
56	1of6	6.05	3.75
57	1t40	7.96	6.81
58	1mmv	7.24	4.12
59	1r55	6.8	7.74
60	1p2y	5.0	5.84
61	1sq5	4.39	4.58
62	1u1c	5.37	5.12
63	1r9o	5.02	5.96
64	1s19	9.51	6.27
65	1of1	4.82	6.13
66	1v4s	6.44	6.48
