	PDB	Labels	Predictions
0	4fjk	6.55	5.32
1	2v7u	5.9	4.61
2	2hzl	6.57	3.54
3	2q89	6.3	3.83
4	1ukb	3.19	1.96
5	3c2f	2.0	5.71
6	2gz2	5.22	4.54
7	2v7v	6.66	5.77
8	3bu1	8.15	3.8
9	2qdt	5.19	4.97
10	1toi	4.05	4.26
11	2hzy	7.39	5.41
12	2pwd	4.4	5.26
13	2nsl	4.68	5.47
14	2qrl	4.0	4.18
15	2j4k	4.85	4.7
16	2cjp	3.1	3.56
17	1iup	2.54	3.52
18	2qry	8.64	3.98
19	2ihk	4.16	4.21
20	2nsj	4.79	5.47
21	2e2p	4.74	4.81
22	2pwg	4.82	5.03
23	2b3f	6.03	4.68
24	3brn	8.7	4.77
25	3c2r	3.11	4.83
26	2jgb	5.61	5.71
27	1tog	3.22	4.26
28	2v7t	7.48	5.88
29	2vhw	5.09	4.51
30	2q88	5.8	3.25
31	2vmd	3.02	3.73
32	3c2o	3.35	4.38
33	2ihj	4.59	4.21
34	1e2k	4.94	6.34
35	1u1w	5.85	3.05
36	2bvd	6.0	5.31
37	2aac	2.22	5.15
38	1tok	2.47	3.8
39	1dy4	4.36	5.58
40	1uz4	3.4	4.89
41	1gww	4.28	4.46
42	1x8d	2.21	4.97
43	1ui0	7.06	4.25
44	1lrh	6.82	4.27
45	1nw5	5.21	4.48
46	1v1j	4.82	3.79
47	2qrk	4.26	4.29
48	1h46	3.57	5.86
49	1gx0	4.28	4.46
50	4ubp	5.59	3.41
51	1bcj	3.7	4.23
52	1toj	3.39	4.26
53	1ia1	7.47	5.26
54	1sg0	7.47	5.02
55	1t9b	6.9	6.12
56	1of6	6.05	4.27
57	1t40	7.96	7.09
58	1mmv	7.24	4.67
59	1r55	6.8	7.56
60	1p2y	5.0	5.86
61	1sq5	4.39	5.26
62	1u1c	5.37	6.66
63	1r9o	5.02	5.77
64	1s19	9.51	7.02
65	1of1	4.82	4.82
66	1v4s	6.44	6.99
