	PDB	Labels	Predictions
0	4fjk	6.55	5.43
1	2v7u	5.9	5.47
2	2hzl	6.57	4.74
3	2q89	6.3	5.48
4	1ukb	3.19	4.06
5	3c2f	2.0	5.96
6	2gz2	5.22	5.34
7	2v7v	6.66	5.54
8	3bu1	8.15	3.82
9	2qdt	5.19	3.75
10	1toi	4.05	4.2
11	2hzy	7.39	4.6
12	2pwd	4.4	4.8
13	2nsl	4.68	5.31
14	2qrl	4.0	3.23
15	2j4k	4.85	3.96
16	2cjp	3.1	5.03
17	1iup	2.54	5.4
18	2qry	8.64	5.17
19	2ihk	4.16	3.15
20	2nsj	4.79	5.31
21	2e2p	4.74	5.16
22	2pwg	4.82	4.64
23	2b3f	6.03	3.58
24	3brn	8.7	4.86
25	3c2r	3.11	3.77
26	2jgb	5.61	4.99
27	1tog	3.22	4.2
28	2v7t	7.48	5.96
29	2vhw	5.09	4.1
30	2q88	5.8	4.08
31	2vmd	3.02	3.97
32	3c2o	3.35	4.09
33	2ihj	4.59	3.15
34	1e2k	4.94	5.11
35	1u1w	5.85	4.33
36	2bvd	6.0	6.84
37	2aac	2.22	4.53
38	1tok	2.47	6.07
39	1dy4	4.36	4.31
40	1uz4	3.4	5.01
41	1gww	4.28	3.39
42	1x8d	2.21	4.67
43	1ui0	7.06	3.9
44	1lrh	6.82	3.6
45	1nw5	5.21	5.23
46	1v1j	4.82	3.44
47	2qrk	4.26	4.59
48	1h46	3.57	4.22
49	1gx0	4.28	3.39
50	4ubp	5.59	2.99
51	1bcj	3.7	4.28
52	1toj	3.39	4.2
53	1ia1	7.47	5.17
54	1sg0	7.47	4.58
55	1t9b	6.9	5.41
56	1of6	6.05	4.04
57	1t40	7.96	6.69
58	1mmv	7.24	3.43
59	1r55	6.8	6.88
60	1p2y	5.0	4.08
61	1sq5	4.39	2.44
62	1u1c	5.37	4.62
63	1r9o	5.02	5.58
64	1s19	9.51	7.43
65	1of1	4.82	5.07
66	1v4s	6.44	6.42
