	PDB	Labels	Predictions
0	4fjk	6.55	5.87
1	2v7u	5.9	4.57
2	2hzl	6.57	4.57
3	2q89	6.3	4.13
4	1ukb	3.19	3.93
5	3c2f	2.0	5.8
6	2gz2	5.22	5.71
7	2v7v	6.66	4.3
8	3bu1	8.15	3.96
9	2qdt	5.19	5.24
10	1toi	4.05	4.15
11	2hzy	7.39	5.1
12	2pwd	4.4	5.0
13	2nsl	4.68	4.37
14	2qrl	4.0	4.84
15	2j4k	4.85	4.38
16	2cjp	3.1	5.43
17	1iup	2.54	4.72
18	2qry	8.64	5.99
19	2ihk	4.16	7.13
20	2nsj	4.79	4.46
21	2e2p	4.74	4.95
22	2pwg	4.82	4.39
23	2b3f	6.03	3.99
24	3brn	8.7	5.42
25	3c2r	3.11	5.11
26	2jgb	5.61	6.01
27	1tog	3.22	4.41
28	2v7t	7.48	5.29
29	2vhw	5.09	5.27
30	2q88	5.8	4.5
31	2vmd	3.02	4.29
32	3c2o	3.35	5.26
33	2ihj	4.59	7.42
34	1e2k	4.94	5.12
35	1u1w	5.85	3.87
36	2bvd	6.0	5.95
37	2aac	2.22	4.34
38	1tok	2.47	4.86
39	1dy4	4.36	5.89
40	1uz4	3.4	5.1
41	1gww	4.28	4.69
42	1x8d	2.21	4.12
43	1ui0	7.06	5.07
44	1lrh	6.82	4.44
45	1nw5	5.21	4.57
46	1v1j	4.82	4.43
47	2qrk	4.26	6.0
48	1h46	3.57	5.24
49	1gx0	4.28	4.75
50	4ubp	5.59	6.22
51	1bcj	3.7	5.0
52	1toj	3.39	4.22
53	1ia1	7.47	6.53
54	1sg0	7.47	5.62
55	1t9b	6.9	6.76
56	1of6	6.05	4.38
57	1t40	7.96	6.84
58	1mmv	7.24	4.3
59	1r55	6.8	4.81
60	1p2y	5.0	4.08
61	1sq5	4.39	6.04
62	1u1c	5.37	4.87
63	1r9o	5.02	5.44
64	1s19	9.51	7.29
65	1of1	4.82	6.01
66	1v4s	6.44	7.2
