	PDB	Labels	Predictions
0	4fjk	6.55	5.28
1	2v7u	5.9	6.07
2	2hzl	6.57	5.63
3	2q89	6.3	4.85
4	1ukb	3.19	2.69
5	3c2f	2.0	6.34
6	2gz2	5.22	4.88
7	2v7v	6.66	4.96
8	3bu1	8.15	3.4
9	2qdt	5.19	4.34
10	1toi	4.05	2.6
11	2hzy	7.39	3.7
12	2pwd	4.4	4.41
13	2nsl	4.68	3.12
14	2qrl	4.0	3.4
15	2j4k	4.85	4.93
16	2cjp	3.1	3.96
17	1iup	2.54	2.66
18	2qry	8.64	6.45
19	2ihk	4.16	6.12
20	2nsj	4.79	3.12
21	2e2p	4.74	5.05
22	2pwg	4.82	4.38
23	2b3f	6.03	4.93
24	3brn	8.7	5.0
25	3c2r	3.11	4.47
26	2jgb	5.61	4.93
27	1tog	3.22	2.6
28	2v7t	7.48	5.9
29	2vhw	5.09	5.64
30	2q88	5.8	4.75
31	2vmd	3.02	3.98
32	3c2o	3.35	4.89
33	2ihj	4.59	6.12
34	1e2k	4.94	4.56
35	1u1w	5.85	2.99
36	2bvd	6.0	4.76
37	2aac	2.22	4.26
38	1tok	2.47	2.52
39	1dy4	4.36	5.82
40	1uz4	3.4	5.87
41	1gww	4.28	4.64
42	1x8d	2.21	5.37
43	1ui0	7.06	3.45
44	1lrh	6.82	3.86
45	1nw5	5.21	4.44
46	1v1j	4.82	4.21
47	2qrk	4.26	5.65
48	1h46	3.57	5.66
49	1gx0	4.28	4.64
50	4ubp	5.59	3.65
51	1bcj	3.7	2.99
52	1toj	3.39	2.6
53	1ia1	7.47	5.9
54	1sg0	7.47	5.43
55	1t9b	6.9	5.17
56	1of6	6.05	3.8
57	1t40	7.96	7.33
58	1mmv	7.24	3.28
59	1r55	6.8	7.25
60	1p2y	5.0	4.61
61	1sq5	4.39	3.48
62	1u1c	5.37	5.75
63	1r9o	5.02	5.02
64	1s19	9.51	8.64
65	1of1	4.82	4.65
66	1v4s	6.44	6.29
